V1,V5,V6,V20,V21,V8,V14,V15,V17,V18,V19,V22,label
91.0,14.0,24.0,351.0,2.0,2,0,0,2,1,1,19,1
244.0,6.0,14.0,5.0,113.0,2,0,0,2,1,1,19,0
82.0,9.0,12.0,332.0,35.0,2,2,0,1,0,0,19,1
217.0,0.0,9.0,22.0,65.0,2,2,0,0,0,0,19,0
246.0,32.0,38.0,2.0,16.0,2,2,0,1,0,0,19,1
257.0,3.0,40.0,2.0,15.0,2,2,0,2,0,0,19,1
217.0,3.0,9.0,31.0,9.0,2,2,0,2,0,0,19,1
213.0,0.0,8.0,21.0,52.0,2,0,0,2,0,0,19,1
99.0,0.0,13.0,398.0,517.0,2,2,0,1,1,0,19,1
65.0,56.0,62.0,381.0,176.0,2,0,0,1,1,0,19,0
301.0,18.0,32.0,95.0,332.0,2,2,0,1,1,1,19,0
322.0,1.0,8.0,62.0,83.0,2,2,0,1,0,0,19,0
228.0,0.0,4.0,118.0,42.0,2,2,0,2,1,0,19,1
250.0,0.0,4.0,17.0,212.0,2,2,0,1,1,1,19,1
197.0,0.0,4.0,57.0,39.0,2,0,0,1,0,0,19,0
296.0,2.0,5.0,176.0,32.0,2,0,0,1,0,0,19,1
293.0,4.0,9.0,176.0,1.0,2,2,0,2,0,0,19,0
202.0,0.0,9.0,19.0,9.0,2,2,0,2,0,0,19,1
246.0,0.0,8.0,6.0,0.0,2,2,0,2,0,0,19,1
91.0,5.0,22.0,353.0,16.0,2,0,0,2,1,1,19,1
268.0,29.0,32.0,38.0,281.0,2,2,0,2,1,0,19,0
226.0,3.0,17.0,104.0,9.0,2,0,0,2,1,0,17,0
82.0,7.0,8.0,357.0,146.0,2,0,0,2,1,0,19,0
91.0,11.0,23.0,331.0,343.0,2,2,0,1,1,0,19,0
212.0,0.0,8.0,52.0,10.0,2,2,0,2,0,0,19,1
264.0,6.0,17.0,5.0,35.0,2,2,0,2,0,0,19,1
224.0,2.0,9.0,53.0,227.0,2,0,0,1,0,0,19,0
222.0,7.0,9.0,67.0,12.0,2,2,0,2,1,0,19,1
218.0,9.0,17.0,16.0,380.0,2,2,0,1,1,0,19,0
270.0,2.0,9.0,36.0,310.0,2,0,0,1,1,0,19,1
240.0,8.0,15.0,30.0,556.0,2,0,0,1,0,0,19,0
133.0,5.0,7.0,298.0,176.0,2,0,0,1,1,0,19,0
263.0,7.0,13.0,226.0,36.0,2,2,0,2,1,0,19,0
86.0,3.0,12.0,365.0,86.0,2,0,0,1,0,0,19,1
243.0,1.0,6.0,9.0,15.0,2,2,0,0,1,1,19,0
253.0,0.0,6.0,3.0,14.0,2,0,0,2,0,0,19,0
89.0,11.0,24.0,358.0,92.0,2,0,0,2,0,0,19,0
253.0,0.0,11.0,3.0,62.0,2,0,0,0,1,1,19,0
285.0,10.0,12.0,241.0,86.0,2,2,0,1,0,0,19,1
249.0,22.0,29.0,28.0,48.0,2,2,0,0,0,0,19,1
370.0,0.0,14.0,3.0,485.0,0,1,0,1,1,1,19,0
243.0,0.0,13.0,5.0,12.0,2,2,0,1,0,0,19,1
260.0,5.0,9.0,53.0,35.0,2,2,0,2,0,0,19,0
133.0,0.0,8.0,298.0,334.0,2,0,0,1,1,0,19,0
281.0,1.0,16.0,17.0,117.0,2,2,0,2,1,1,19,0
76.0,2.0,15.0,389.0,58.0,2,2,0,0,1,0,19,1
234.0,21.0,31.0,7.0,299.0,2,0,0,1,1,0,19,1
243.0,1.0,11.0,10.0,46.0,2,2,0,2,0,0,19,1
167.0,5.0,9.0,65.0,6.0,2,0,0,2,1,0,19,0
232.0,1.0,4.0,19.0,48.0,2,0,0,2,0,0,19,1
231.0,6.0,8.0,21.0,7.0,2,0,0,2,1,0,19,0
319.0,35.0,47.0,144.0,303.0,2,2,0,1,1,0,19,1
94.0,9.0,13.0,387.0,191.0,2,2,0,1,1,0,19,0
290.0,6.0,9.0,45.0,57.0,2,0,0,2,1,0,19,1
103.0,14.0,24.0,334.0,12.0,2,2,0,0,0,0,19,0
325.0,2.0,7.0,143.0,29.0,2,0,0,2,0,0,19,1
243.0,0.0,12.0,6.0,14.0,2,2,0,2,0,0,19,1
351.0,2.0,7.0,218.0,7.0,2,0,0,0,0,0,19,0
290.0,1.0,17.0,47.0,134.0,2,0,0,2,0,0,19,1
65.0,0.0,17.0,395.0,172.0,2,0,0,1,1,0,19,0
90.0,4.0,11.0,188.0,281.0,2,0,0,1,1,0,19,1
242.0,8.0,11.0,1.0,94.0,2,2,0,2,1,1,19,0
253.0,0.0,9.0,3.0,8.0,2,0,0,0,0,0,19,0
205.0,7.0,30.0,44.0,356.0,2,2,0,1,0,0,19,0
281.0,13.0,17.0,11.0,21.0,2,2,0,0,1,1,19,0
90.0,0.0,13.0,188.0,170.0,2,0,0,1,1,1,19,1
261.0,0.0,4.0,8.0,1.0,2,0,0,2,1,1,19,1
263.0,1.0,7.0,89.0,27.0,2,0,0,2,0,0,19,0
97.0,3.0,6.0,383.0,22.0,2,2,0,2,1,1,19,0
376.0,4.0,18.0,7.0,338.0,0,1,0,1,1,0,19,1
82.0,2.0,23.0,365.0,3.0,2,0,0,1,0,0,19,1
239.0,5.0,9.0,30.0,9.0,2,2,0,2,0,0,19,1
84.0,0.0,28.0,338.0,49.0,2,1,0,2,1,0,19,1
