ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE,label
117961,118300,124942,118321,117906,290919,118322,1
117961,118300,120722,118321,117906,290919,118322,1
117961,118300,118458,118523,311622,118331,118525,0
117902,117903,119181,117905,118036,290919,117908,1
117961,118225,120663,118321,117906,290919,118322,1
117961,118386,118635,118636,310589,118638,118639,1
118212,118213,118042,118043,174445,270488,118046,1
117961,118327,118320,117905,117906,290919,117908,1
91261,118026,122938,118278,118260,290919,118279,1
5110,117954,117895,117885,117955,117887,117888,1
117961,118343,119796,121414,129974,118704,121416,1
117916,118150,118599,179731,118625,117887,117973,1
117902,117903,7646,118451,302623,118453,118454,1
117961,118225,129617,122297,122297,118331,118899,1
117961,118413,120370,118321,240983,290919,118322,1
117961,118300,119181,118321,117906,290919,118322,1
117961,118343,124725,118321,117906,290919,118322,1
117961,118300,120722,118784,213944,290919,118786,1
117961,118343,118395,123067,269406,118398,123068,1
117961,118052,118706,119928,161806,118331,119929,1
117961,118225,118403,118321,117906,290919,118322,1
5110,117954,117895,117899,117897,19721,117900,1
117961,118300,121305,119351,149246,3130,119353,1
118725,118726,119076,118422,159053,118424,118425,1
118219,118220,117920,117899,117899,19721,117900,1
118595,118596,119993,117905,117906,290919,117908,1
117961,118327,120624,117905,117906,290919,117908,1
117961,118413,126229,128230,302830,4673,128231,1
119134,119135,118597,118777,308574,308574,118779,1
117961,118052,119742,117905,117906,290919,117908,1
117961,118052,118881,117905,117906,290919,117908,1
117961,118300,118514,128230,302830,4673,128231,1
117961,118225,122273,117905,117906,290919,117908,1
117961,118300,120722,118321,117906,290919,118322,1
117961,118386,118522,119743,244154,3130,119745,1
119062,119091,118514,119962,168365,118205,119964,1
117961,118343,120722,118784,117906,290919,118786,1
125714,125715,118514,118321,117906,290919,118322,1
117902,118041,118556,280788,280788,292795,119082,1
117961,118343,118660,118912,309291,118424,118914,1
117961,118343,119993,117905,117906,290919,117908,1
117961,118413,120526,118784,117906,290919,118786,1
117961,118386,123844,117905,117906,290919,117908,1
117961,118327,118507,118054,120238,117887,118055,1
117961,118343,119142,118784,121556,290919,118786,0
117961,118343,118979,119433,133686,118424,119435,1
117980,117981,117884,118568,146968,19721,118570,1
119402,119403,117878,124537,125539,118870,124539,1
118006,118007,120694,118641,294129,118643,118644,1
118315,118463,118464,120765,130740,118467,120767,1
117961,118413,122007,118321,117906,290919,118322,1
117961,117962,118501,118321,118448,290919,118322,1
117961,118327,118320,118321,118448,290919,118322,1
119920,119921,176153,118784,292871,290919,118786,1
117961,118413,119968,130857,232825,308574,130858,1
117961,118413,277693,123737,127475,118960,123738,1
91261,118026,118692,118321,117906,290919,118322,1
117961,118386,125016,118451,126309,118453,118454,1
117975,117976,117884,117885,117913,117887,117888,1
119691,119692,118635,120903,118406,119695,120904,0
118315,118463,120764,120765,140197,118467,120767,0
117961,118327,118391,118321,117906,290919,118322,0
117961,118300,118421,120344,222039,118424,120346,1
117961,118327,145424,118321,117906,290919,118322,1
117929,117940,117884,117879,117886,19721,117880,1
117961,117969,130192,120621,151261,19793,120623,1
118315,118316,140453,129229,182258,119788,129231,0
117961,118225,123173,120812,311057,118638,120814,1
117961,118327,118933,118685,311622,308574,118687,1
117961,118225,120551,128230,302830,4673,128231,1
117961,118052,119408,118685,279443,308574,118687,1
117910,117911,117884,117885,117913,117887,117888,1
117916,118011,118599,179731,199148,117887,117973,1
117961,118300,118825,121469,310997,118424,121471,1
117961,118300,118437,118451,130134,118453,118454,1
117961,118446,118684,118924,140784,118667,118926,1
117959,117960,117884,118568,209444,19721,118570,1
118315,118463,123089,118259,128796,290919,118261,1
117961,118300,120722,118784,117906,290919,118786,1
117961,118343,118979,120344,129564,118424,120346,1
117961,118300,119890,118422,300136,118424,118425,1
117961,118225,122870,119928,129017,118331,119929,1
117961,118343,118660,118912,309291,118424,118914,1
117961,118343,121747,118784,130735,290919,118786,1
117961,118413,120526,130857,279443,308574,130858,1
119062,119091,119223,118278,151426,290919,118279,1
118887,118888,118458,120344,217919,118424,120346,1
117961,119256,119257,280788,121024,292795,119082,1
117961,118343,122012,117905,117906,290919,117908,1
117961,118343,120126,119433,133686,118424,119435,1
117961,118300,123472,122022,150273,119221,122024,1
117961,118300,118458,120006,311622,118424,120008,1
119280,119281,117945,118995,119235,292795,118997,1
117961,118413,122007,118321,118448,290919,118322,1
118290,118291,118053,132692,134889,270488,132694,1
117961,118343,119598,118834,127160,118424,118836,1
117961,118300,119984,118396,269406,118398,118399,1
117961,118225,125919,161098,161813,161100,161101,1
117961,118413,126229,128230,302830,4673,128231,1
118315,118463,119214,118321,117906,290919,118322,1
117961,118327,121645,118841,123378,118643,118843,1
117961,117969,6725,122290,268766,6725,122292,1
117961,118413,118414,118784,240983,290919,118786,1
117961,118300,119181,118321,117906,290919,118322,1
117961,118225,122273,122274,244154,3130,122275,1
118290,118291,118911,118422,286787,118424,118425,1
117961,117962,118910,117905,117906,290919,117908,1
117961,118052,118027,118054,119601,117887,118055,1
117961,118300,119195,118636,227378,118638,118639,1
117961,118343,118700,117905,240983,290919,117908,1
117926,118124,117941,117879,117886,19721,117880,1
118074,23779,131868,119192,119192,119184,119194,1
117961,118300,123055,118054,118054,117887,118055,1
117989,117990,118810,118811,119759,19793,118813,1
117961,118343,119987,307024,311622,118331,118332,1
117961,118413,122007,118259,118260,290919,118261,1
91261,118026,118450,118641,123881,118643,118644,1
117961,118413,126229,121594,207709,4673,121596,1
117961,118327,118518,118043,118756,270488,118046,1
117961,118343,118437,118523,311622,118331,118525,1
117961,117969,118970,118396,138410,118398,118399,1
117961,118343,121747,118321,117906,290919,118322,1
117961,118052,120417,118702,125047,118704,118705,0
117961,118343,6104,117905,117906,290919,117908,1
117961,118343,119987,118536,132799,308574,118539,1
117961,118343,119598,118422,300136,118424,118425,1
117961,118343,119598,118321,240983,290919,118322,1
117961,118300,118631,118826,168415,118424,118828,1
117961,118300,118301,119928,219829,118331,119929,1
117902,117903,118700,118321,117906,290919,118322,1
117961,118343,118514,118321,117906,290919,118322,1
118290,118291,119136,119137,129238,118474,119139,1
117961,118386,123757,118321,117906,290919,118322,0
120864,121013,124266,120344,288609,118424,120346,1
118219,118220,117912,118568,136473,19721,118570,1
117961,118300,119181,117905,180083,290919,117908,1
118752,119070,118754,118805,130755,118474,118807,1
117961,118386,119214,118321,117906,290919,118322,1
118169,118170,118556,117946,125711,292795,117948,1
117980,118076,117941,118568,201906,19721,118570,1
117916,118011,117920,117885,117913,117887,117888,1
117961,118300,118395,118890,311441,118398,118892,1
118163,118164,117878,117885,117879,117887,117888,1
120864,120865,19666,120632,278014,118131,120634,1
117961,118327,118320,118784,147114,290919,118786,1
117961,118052,122392,128903,160695,292795,128905,1
117961,118052,118881,117905,117906,290919,117908,0
117961,118327,118507,118863,122008,118398,118865,1
117890,117891,117878,117879,117879,19721,117880,1
117961,118343,120722,118361,118362,118363,118364,1
118290,118291,119837,120344,142386,118424,120346,1
117929,117930,117920,117879,117886,19721,117880,1
91261,118026,119507,123045,123107,120518,123047,1
117961,118300,119181,117905,180083,290919,117908,1
5110,117954,117895,118568,157237,19721,118570,1
122880,122974,118042,120097,281292,270488,120099,1
130684,130685,118552,121372,300603,119184,121374,1
118219,118220,117920,117899,117899,19721,117900,1
117961,117962,118910,117905,117906,290919,117908,1
117961,118386,119954,118259,155654,290919,118261,1
119596,119597,119136,119137,122050,118474,119139,1
117961,118343,120666,120006,255097,118424,120008,1
118169,118170,118042,118054,119008,117887,118055,1
117893,117894,117895,117885,117913,117887,117888,1
