Wifes_age,Number_of_children_ever_born,Wifes_education,Husbands_education,Wifes_religion,Wifes_now_working\%3F,Husbands_occupation,Standard-of-living_index,Media_exposure,label
45.02911,7.190081,2,3,1,1,3,4,0,0
29.928557,2.0,4,3,1,1,2,2,0,2
37.887108,3.0,1,1,1,0,2,2,0,0
42.693066,3.783127,3,3,1,0,2,3,0,2
31.562043,2.0,4,4,1,1,2,4,0,0
32.076481,4.485396,1,2,1,1,3,3,1,2
20.839567,0.272789,4,4,1,1,2,3,0,0
29.855116,1.373022,2,4,1,1,3,2,1,0
31.237889,2.0,2,3,1,1,3,4,0,1
51.238901,4.534071,2,4,1,0,3,1,0,0
22.209047,0.495106,1,3,1,0,2,2,0,2
18.143941,3.0,4,4,0,1,1,4,0,2
29.363651,4.370749,4,4,0,0,1,4,0,2
40.888093,4.630974,4,4,0,1,1,3,0,1
33.952768,1.436584,3,4,1,1,2,4,1,0
31.376693,4.166341,2,4,1,0,2,4,0,2
26.197241,2.0,2,3,1,1,3,4,0,2
19.382191,1.038947,3,2,1,1,3,3,0,0
30.889891,5.428801,4,4,1,1,1,2,0,2
43.911801,3.866343,4,4,1,1,3,4,0,0
34.74815,2.0,3,4,1,0,3,1,0,0
30.640724,3.0,1,3,1,1,2,2,0,0
19.355001,2.0,1,2,1,1,3,1,1,0
24.875091,2.0,2,3,1,1,3,3,0,2
45.296267,5.317486,3,4,1,1,1,4,0,2
30.607241,3.0,3,4,1,1,3,3,0,1
22.618341,1.460377,2,4,1,0,2,4,0,2
34.875397,2.0,3,3,1,1,3,3,0,1
36.20079,3.0,2,4,1,1,1,2,0,2
37.259165,6.568783,4,4,0,1,1,4,0,1
32.36308,2.0,3,4,1,1,1,3,0,0
38.63275,6.48397,4,4,0,1,2,2,0,1
24.088891,2.0,3,3,1,1,3,4,0,2
40.225815,5.066394,4,4,1,1,3,4,0,2
33.833894,4.357787,2,4,1,0,1,1,0,0
24.512009,0.1873,2,3,1,1,1,1,0,2
46.615452,5.138772,3,3,1,1,3,3,0,2
42.403175,3.412362,3,4,1,1,3,4,0,0
27.199593,2.0,3,3,1,1,3,4,0,2
31.889995,2.0,4,4,1,0,3,4,0,1
19.968967,2.0,3,3,1,1,1,4,0,0
32.583269,3.0,4,3,1,1,3,3,0,2
29.57101,2.0,1,2,1,1,1,1,0,0
28.168341,4.582973,2,2,1,1,3,2,0,2
26.15424,3.0,4,4,1,1,3,4,0,1
22.393099,0.662084,1,4,1,1,2,3,1,0
48.162302,1.05432,1,1,1,1,1,4,1,0
23.56927,4.20173,1,1,1,1,2,2,1,0
27.190097,0.466754,2,3,1,1,1,4,0,1
28.252944,3.0,4,4,0,1,4,3,0,0
36.36593,7.37087,3,4,1,1,3,4,0,2
27.998905,4.086003,2,1,1,1,4,3,0,2
47.419836,3.0,4,4,1,1,1,4,0,0
36.304551,2.0,3,3,1,1,2,4,0,0
35.136791,3.0,4,4,1,1,3,4,0,2
25.022174,0.329434,3,4,1,1,2,1,1,0
47.95567,8.714302,2,4,1,1,1,4,0,0
46.321453,4.839694,3,4,1,1,4,4,0,2
26.158607,3.0,3,4,1,0,2,4,0,2
24.692209,2.0,2,3,1,1,2,2,0,0
29.436937,5.539647,2,3,1,1,3,3,0,0
35.57358,3.0,4,4,1,0,3,4,0,1
41.595858,4.679124,1,3,1,1,3,1,0,0
24.101175,1.373759,1,4,1,1,3,4,1,0
34.644101,0.610286,2,2,1,0,3,3,0,0
26.942036,2.0,3,2,1,1,3,4,0,1
34.663436,7.110579,4,4,1,1,2,3,0,2
37.040673,5.193933,4,4,1,1,3,4,0,2
40.264459,0.858582,3,4,1,1,3,4,0,0
38.690631,4.352958,4,4,1,0,1,4,0,2
31.165865,3.0,4,4,1,0,3,4,0,2
21.558866,0.64575,3,2,1,0,3,2,0,2
47.070426,1.612955,3,4,1,1,2,4,0,0
45.735498,3.966871,2,4,1,1,3,3,0,1
28.561843,3.0,3,3,1,1,2,4,0,2
26.547629,3.0,3,3,0,1,2,2,0,2
26.220453,3.0,1,2,1,1,1,3,0,0
21.45726,0.827525,3,3,1,1,3,3,0,0
36.912705,8.849557,2,4,1,0,2,4,0,2
30.874124,2.0,3,4,1,1,1,4,0,1
30.022332,2.0,4,4,1,1,2,4,0,1
35.969314,8.57653,1,2,1,1,2,2,0,0
31.914683,3.801523,3,4,1,1,3,3,0,2
26.746617,2.0,2,3,1,0,3,3,0,2
41.423856,0.606801,4,2,0,1,3,4,0,0
46.424977,0.713741,3,3,1,1,2,4,0,0
42.839871,0.308469,4,4,0,1,2,4,0,0
45.196219,1.193947,4,4,0,0,1,1,0,0
44.039393,5.211144,2,2,1,1,3,4,0,0
47.936216,4.602156,3,4,1,1,2,4,0,0
35.389183,4.814988,4,4,0,1,1,2,0,1
37.736465,8.321817,2,2,1,1,3,3,0,2
41.586893,3.887275,2,3,1,1,2,4,0,2
27.643724,3.0,4,4,1,0,1,4,0,2
35.355631,0.537035,3,3,1,1,2,3,0,0
32.042118,4.559437,2,3,1,1,3,4,0,0
31.109587,2.0,4,4,1,1,1,4,0,1
36.644846,3.681097,4,4,1,1,1,2,0,1
38.276033,3.0,2,4,1,0,3,4,0,1
33.257131,2.0,4,4,0,1,1,2,0,1
32.500579,2.0,4,4,0,1,2,4,0,1
35.940346,8.635265,4,4,1,0,3,1,0,0
25.929434,3.0,4,4,1,1,1,4,0,0
46.65378,8.359679,4,4,1,1,1,2,0,1
29.974704,3.663283,2,3,1,0,3,3,0,2
29.219585,0.970953,3,3,1,1,3,3,0,2
32.882053,5.134738,2,4,1,1,1,4,0,0
22.825678,4.057758,1,1,0,0,4,3,0,2
30.679951,2.0,2,3,1,1,2,2,0,0
32.125226,2.0,4,4,1,1,3,4,0,2
25.784537,4.511292,3,3,1,1,2,2,0,2
27.544368,2.0,4,4,1,0,3,3,0,1
25.853385,3.0,3,4,1,1,2,3,0,1
21.079398,3.0,3,4,1,1,1,3,0,2
26.115453,0.184381,4,4,1,0,3,4,0,0
30.724389,2.0,2,2,1,0,1,4,0,0
37.235026,3.740305,3,4,1,1,1,4,0,1
30.681998,4.255041,3,3,1,1,3,1,0,2
19.743362,2.0,1,3,1,1,3,3,0,0
36.588767,4.043953,3,4,1,1,1,3,0,2
34.934896,2.0,2,3,1,1,2,4,0,2
25.584049,2.0,4,4,1,0,1,3,0,1
24.54542,3.0,2,4,1,1,3,2,1,0
42.661245,3.0,3,4,0,1,1,4,0,0
26.299042,3.0,2,4,1,1,3,3,0,2
36.627663,3.0,4,4,1,1,3,4,0,2
46.449254,4.440922,4,4,1,1,2,4,0,1
46.099323,10.845531,4,4,1,1,1,4,0,1
20.675827,-0.032737,2,4,1,1,4,4,0,2
20.641591,0.855967,1,2,1,1,2,4,1,0
46.574023,6.604726,4,4,1,1,3,3,0,0
23.905819,1.058551,3,4,1,0,3,3,0,0
26.303465,0.818452,1,2,1,1,4,4,1,0
35.601972,2.0,4,4,1,1,1,4,0,1
26.347113,3.0,2,3,0,1,2,4,0,0
34.987333,0.681556,3,4,1,1,3,1,0,0
25.962455,3.0,3,3,0,0,3,4,0,2
20.781622,0.481127,4,4,1,1,2,4,0,0
32.38206,2.0,3,4,1,0,3,4,1,0
26.205725,5.040461,3,4,1,1,3,4,0,2
18.306201,3.0,1,3,1,1,3,4,1,2
26.744481,1.456607,2,3,1,0,2,3,0,0
30.48776,3.0,3,4,0,1,3,4,0,2
43.153293,4.815328,4,4,1,1,1,2,0,1
42.142306,3.878014,4,4,1,1,1,4,0,2
38.761036,3.0,2,2,1,1,2,2,0,1
33.509749,5.328554,2,3,1,0,3,3,0,0
30.629409,5.214342,4,4,1,1,1,4,0,1
34.358112,6.277762,4,4,1,1,1,3,0,2
18.214615,4.083344,2,3,1,1,3,3,0,2
44.322968,8.04372,1,2,1,1,3,4,1,0
34.438819,2.0,3,3,0,0,4,4,1,0
