s12,s13,s14,s15,s16,s21,s23,s24,s25,s26,s31,s32,s34,s35,s36,s41,s42,s43,s45,s46,s51,s52,s53,s54,s56,s61,s62,s63,s64,s65,label
-0.001979,0.003418,-0.00197,-0.002895,0.001348,-0.00111,0.001024,-0.000787,-0.00182,0.000447,-0.005475,-0.000495,-0.000421,-2.6e-05,0.000853,-0.002528,0.000642,-0.000894,0.001079,0.00011,-0.000822,0.000691,0.001935,-0.006768,-0.000972,-0.000625,0.000473,-0.000271,0.002109,-0.001258,0
-0.003133,0.002583,-0.000311,0.003014,0.000174,-0.000757,0.000109,0.000908,-0.000588,0.001126,-0.005364,-0.000958,-0.000459,6.4e-05,0.000172,-0.002129,0.000497,-0.001706,0.001051,7.5e-05,6e-06,0.000836,0.002023,-0.008746,-0.001282,-0.000431,0.000624,-0.000233,0.001627,-0.001537,1
-0.002188,0.004592,-0.00162,0.001809,0.001359,-0.000769,-0.00019,0.000907,-0.001446,0.00073,-0.005161,-0.00078,-0.000663,-0.000306,0.000655,-0.002568,0.000552,-0.001103,0.001046,-8.9e-05,-0.000766,0.000708,0.002673,-0.007259,-0.001112,-0.000626,0.000242,-0.000548,0.00194,-0.001357,0
-0.002739,0.001938,-0.001578,-0.003105,0.000894,-0.00078,0.000705,-0.000352,-0.000914,0.001225,-0.005262,-0.001722,-0.000582,8.6e-05,0.000209,-0.002121,0.000261,-0.001686,0.00114,0.000105,-0.000181,0.000876,0.002311,-0.008431,-0.001177,-0.000592,0.00061,-0.000175,0.001554,-0.00151,0
-0.001913,0.001794,-0.002412,-0.002647,0.000455,-0.000555,0.000525,-0.000274,-0.000383,0.000754,-0.005234,-0.000854,-0.00029,-9.3e-05,0.00027,-0.002173,0.000607,-0.001338,0.000818,-0.000302,-0.000209,0.000543,0.002198,-0.008228,-0.001128,-0.000313,0.0008,-0.000248,0.001806,-0.001362,1
-0.001042,0.001232,-0.001434,-0.002644,0.000324,-0.000861,0.001248,-2e-05,-4.3e-05,0.001241,-0.005231,-0.001337,-0.000504,1.6e-05,0.000404,-0.002395,0.000413,-0.001227,0.00103,3e-06,-0.000351,0.000567,0.002819,-0.008366,-0.000968,-0.000367,0.000533,2e-05,0.001734,-0.001393,0
-0.002849,0.002465,-0.001201,0.0029,-0.0002,-0.000608,-0.000629,0.001015,-0.000507,0.0007,-0.005089,-0.001016,-0.000302,-9.5e-05,0.000341,-0.002144,0.000744,-0.001242,0.000809,-0.000329,-0.000148,0.000538,0.002249,-0.008278,-0.001135,-0.000274,0.000656,-0.000236,0.001905,-0.001309,1
-0.003366,0.003609,-0.000969,0.002287,0.001147,-0.00064,-4.3e-05,0.0008,-0.001461,0.000509,-0.005848,-0.000805,-0.000365,-7.6e-05,0.000851,-0.002564,0.000858,-0.001101,0.001148,0.000117,-0.000687,0.000707,0.002297,-0.007189,-0.000997,-0.000417,0.000549,-0.000166,0.001751,-0.001473,1
-0.001225,0.001575,-0.001937,-0.003343,0.0015,-0.000694,0.001065,-0.000717,-0.00131,6e-05,-0.005565,-0.001686,-0.000262,-3.5e-05,0.001116,-0.002574,0.000632,-0.000842,0.001097,-1.3e-05,-0.00074,0.000821,0.002526,-0.007711,-0.000863,-0.000537,0.000618,-6.2e-05,0.001895,-0.0016,1
-0.002689,0.002104,-0.001537,-0.00244,0.00022,-0.001155,0.000852,-0.000418,-0.000591,0.001154,-0.005933,-0.001094,-0.000515,0.000203,0.000178,-0.002202,0.000431,-0.001246,0.000938,9.1e-05,-0.000331,0.000571,0.001834,-0.008071,-0.001216,-0.000441,0.000536,-0.000276,0.001446,-0.00147,1
-0.002033,0.004774,-0.001874,0.002375,1e-06,-0.000293,-0.000702,0.000903,-0.001009,0.000999,-0.005074,-0.001128,-0.000136,8.6e-05,0.00131,-0.002135,0.00061,-0.000809,0.000882,-0.00013,-0.000933,0.000582,0.002279,-0.007743,-0.000863,-0.000562,0.000608,5.8e-05,0.001516,-0.00153,1
-0.001966,0.001112,-0.001993,-0.002792,0.000101,-0.001174,0.000822,-0.000346,-0.000841,0.000812,-0.005661,-0.001609,-0.000326,0.000108,0.000631,-0.002351,0.000371,-0.001105,0.000865,4.2e-05,-0.000517,0.000731,0.00198,-0.007994,-0.001121,-0.000417,0.000497,-0.00021,0.001468,-0.001406,1
-0.002281,0.002126,-0.001725,-0.003634,0.000692,0.000285,0.000821,-0.00065,-0.001189,0.000506,-0.005199,-0.001637,-0.000464,-7.2e-05,0.000908,-0.002193,0.00085,-0.001038,0.001007,-7.7e-05,-0.000814,0.000947,0.00234,-0.007731,-0.000902,-0.000556,0.000548,-8.2e-05,0.001625,-0.001656,1
-0.003353,0.005086,-0.001148,0.003081,0.000954,-0.00024,-0.000212,0.00107,-0.00191,0.001002,-0.008275,-0.001485,-0.000618,-0.000142,0.001276,-0.003578,0.001475,-0.00156,0.00143,-0.00021,-0.001012,0.001256,0.001311,-0.011576,-0.001342,-0.000823,0.000896,-0.000178,0.003087,-0.00224,0
-0.002711,0.002105,-0.001067,0.00316,-0.000449,-0.000438,-0.000464,0.001151,-0.000364,0.000536,-0.004881,-0.001218,-0.000379,-3.6e-05,0.000334,-0.002128,0.000806,-0.001143,0.000789,-0.000292,-0.000234,0.000603,0.002196,-0.008263,-0.00102,-0.000347,0.000685,-0.000201,0.00198,-0.001494,1
-0.001282,0.004301,-0.002518,-0.003371,0.000398,-6.1e-05,0.00063,-0.000795,-0.001182,0.000928,-0.005177,-0.000745,-0.000265,0.000131,0.001098,-0.001782,0.000496,-0.001174,0.000817,-0.000111,-0.000851,0.000462,0.002583,-0.007874,-0.000795,-0.000655,0.000559,-8.4e-05,0.001877,-0.001659,0
