N1,N2,N3,N4,N5,N6,C1,C2,C3,C4,label
4,4,201,5,3,5901,F,Ship,medium,M,1
3,1,220,2,7,5653,F,Ship,low,F,0
5,5,271,4,8,1132,F,Ship,low,M,1
4,5,224,2,6,4994,D,Ship,low,M,0
5,3,156,2,1,1147,B,Ship,low,M,1
5,4,275,4,7,4597,C,Flight,low,F,0
4,1,257,4,5,5875,C,Ship,low,M,1
3,5,124,2,1,5709,A,Ship,medium,M,1
4,3,169,2,7,4032,F,Ship,high,M,1
5,5,234,2,50,3914,D,Road,high,M,1
3,3,183,2,3,5189,A,Ship,low,F,0
7,1,289,4,4,1543,F,Ship,low,F,1
4,4,220,2,33,2897,C,Flight,medium,F,1
6,5,247,6,3,4832,F,Road,medium,M,0
5,1,194,7,8,4770,F,Ship,medium,M,0
5,5,235,3,4,5325,D,Ship,low,F,0
4,5,212,2,10,4552,D,Ship,medium,M,0
4,3,223,3,9,5897,D,Ship,medium,F,0
2,3,160,2,3,4409,C,Flight,high,M,0
7,3,244,4,10,1629,F,Ship,medium,M,0
3,1,178,3,36,1297,B,Ship,high,F,1
3,4,145,6,57,1949,F,Flight,medium,M,1
6,1,305,4,5,1588,D,Ship,low,M,0
4,1,147,3,11,1434,A,Ship,low,M,1
4,5,264,3,10,5972,B,Ship,low,F,0
4,2,223,3,3,5121,F,Ship,medium,M,0
4,1,144,4,8,4970,A,Ship,low,M,0
4,1,139,3,7,4275,F,Ship,medium,F,0
5,4,236,5,4,1948,D,Road,medium,F,0
4,5,248,2,4,4789,F,Road,medium,M,1
5,1,262,5,5,1916,F,Ship,low,F,1
4,2,214,3,18,2574,D,Ship,low,F,1
6,2,182,3,7,4371,F,Ship,low,M,1
3,3,261,4,7,4542,F,Ship,medium,F,1
4,5,137,2,14,1796,D,Ship,medium,F,1
3,1,149,3,5,4805,F,Road,medium,M,1
3,3,178,3,12,1900,D,Flight,high,M,1
6,3,224,6,8,5661,D,Ship,high,M,0
4,5,173,4,7,4978,F,Flight,low,M,1
