N1,N2,N3,C1,C2,C3,C4,C5,label
2018,28,4,PHD,New Delhi,3,Male,No,1
2017,33,2,Masters,New Delhi,2,Male,No,0
2017,33,2,Masters,Pune,2,Female,No,0
2017,25,3,Masters,New Delhi,2,Female,No,1
2012,38,2,Bachelors,Bangalore,3,Male,No,0
2017,25,3,Bachelors,New Delhi,3,Male,No,0
2015,27,5,Bachelors,Pune,2,Female,No,1
2017,33,4,Bachelors,Bangalore,3,Male,No,0
2013,28,2,Bachelors,Bangalore,3,Male,No,0
2017,28,4,Bachelors,Pune,3,Female,No,1
2017,28,5,Bachelors,Bangalore,3,Female,No,0
2012,39,5,Bachelors,Pune,3,Male,No,0
2015,28,3,Bachelors,New Delhi,3,Female,No,0
2013,29,5,Bachelors,Bangalore,3,Female,No,0
2014,28,3,Bachelors,Bangalore,3,Male,No,0
2015,22,0,Bachelors,Bangalore,3,Male,No,1
2014,24,2,Bachelors,Bangalore,3,Male,No,0
2013,33,5,Bachelors,Pune,3,Male,No,0
2015,26,4,Bachelors,New Delhi,1,Female,No,1
2015,29,1,Bachelors,New Delhi,2,Female,No,1
2012,28,2,Bachelors,Pune,3,Male,No,0
2013,27,5,Bachelors,Bangalore,3,Female,No,0
2013,27,5,Bachelors,New Delhi,3,Female,Yes,0
2016,41,0,Bachelors,Bangalore,3,Male,No,0
2015,29,2,Bachelors,Pune,3,Male,No,0
2012,30,1,Bachelors,Bangalore,3,Female,No,1
2015,27,5,Bachelors,Pune,3,Male,No,0
2015,27,5,Bachelors,Pune,2,Female,No,1
2016,29,0,Bachelors,Bangalore,3,Female,No,1
2014,23,1,Bachelors,Pune,3,Male,No,0
2017,34,4,Bachelors,New Delhi,2,Female,No,0
2013,26,4,Bachelors,Pune,3,Male,No,0
2013,26,4,Bachelors,New Delhi,3,Male,No,0
2015,27,5,Bachelors,Pune,2,Female,No,1
2016,26,4,Bachelors,Bangalore,3,Male,No,0
2018,26,4,PHD,Bangalore,3,Male,No,1
2015,25,3,Bachelors,Pune,1,Female,No,1
2018,38,3,Bachelors,Bangalore,3,Male,Yes,1
2013,31,3,Bachelors,Bangalore,3,Female,Yes,1
2013,29,4,Bachelors,Bangalore,3,Male,Yes,0
2017,25,3,Bachelors,New Delhi,3,Female,No,0
2014,25,3,Bachelors,Bangalore,3,Male,No,0
2017,26,4,Bachelors,Bangalore,3,Male,No,0
2014,34,5,Bachelors,Bangalore,1,Female,No,0
2014,28,2,Bachelors,Bangalore,3,Male,No,0
2013,39,0,Bachelors,Pune,1,Female,No,1
2017,35,3,Bachelors,Bangalore,3,Male,No,0
2012,28,2,Bachelors,Bangalore,3,Female,No,0
2015,28,1,Bachelors,Pune,2,Female,No,1
2015,26,4,Masters,Pune,3,Male,No,1
2017,40,1,Masters,New Delhi,3,Female,No,0
2013,26,4,Bachelors,Bangalore,3,Male,No,0
2015,29,0,Bachelors,Pune,3,Male,No,0
2017,30,0,Masters,Pune,2,Male,No,0
2012,28,3,Bachelors,Bangalore,3,Male,No,0
2013,27,5,Masters,New Delhi,3,Male,No,0
2014,40,5,Masters,New Delhi,3,Male,No,0
2012,34,2,Bachelors,Pune,3,Female,No,1
2013,25,3,Masters,New Delhi,2,Male,No,1
2018,27,5,Bachelors,Bangalore,3,Male,Yes,1
2014,26,4,Bachelors,Bangalore,3,Male,No,0
2015,25,3,Bachelors,Bangalore,2,Female,No,1
2018,35,0,Bachelors,Pune,3,Female,No,1
2014,28,2,Bachelors,Pune,3,Male,No,0
2017,23,1,Masters,New Delhi,2,Male,No,1
2013,26,4,Bachelors,Pune,3,Male,No,0
2017,26,4,Bachelors,Pune,2,Female,No,1
2017,40,1,Bachelors,Pune,3,Female,No,1
2016,27,5,Bachelors,Bangalore,3,Female,No,1
2012,28,2,Bachelors,Bangalore,3,Male,No,0
2014,37,5,Bachelors,Pune,3,Female,No,1
2015,24,2,Bachelors,Bangalore,3,Male,No,0
2017,26,4,Masters,New Delhi,2,Female,No,0
2015,40,4,Bachelors,Pune,2,Female,No,1
2015,26,4,Masters,New Delhi,3,Male,No,1
2012,27,5,Bachelors,Bangalore,1,Male,No,0
2016,27,5,Bachelors,Bangalore,3,Male,No,0
2017,40,2,Masters,New Delhi,2,Female,No,0
2015,32,5,Bachelors,Bangalore,3,Female,No,0
2017,26,4,Bachelors,Bangalore,3,Female,No,0
2014,32,0,PHD,New Delhi,3,Female,No,0
2012,36,1,Bachelors,Bangalore,3,Female,No,0
2017,29,0,Bachelors,New Delhi,3,Female,No,0
2017,27,5,Bachelors,Bangalore,3,Male,No,0
2016,23,1,Bachelors,Bangalore,3,Male,No,0
2013,29,2,Bachelors,Pune,3,Male,No,0
2017,25,3,Masters,New Delhi,2,Male,Yes,1
2016,41,1,PHD,New Delhi,3,Male,No,0
2017,26,4,Masters,Bangalore,3,Male,No,1
2017,24,2,Masters,New Delhi,2,Male,No,1
2014,34,0,Bachelors,Pune,3,Male,No,0
2015,37,3,Bachelors,Pune,2,Female,No,1
2017,41,0,Bachelors,New Delhi,2,Female,No,0
2015,40,5,Bachelors,Bangalore,3,Male,No,0
2013,29,2,Bachelors,Pune,3,Male,No,0
2012,28,3,Bachelors,Bangalore,3,Male,No,0
2012,31,3,Bachelors,Bangalore,3,Male,No,0
2014,31,5,Bachelors,Bangalore,3,Female,Yes,0
2015,34,3,Bachelors,Pune,1,Female,No,1
2017,27,5,Bachelors,Bangalore,3,Male,Yes,0
2017,26,4,Bachelors,New Delhi,2,Male,No,0
2017,40,4,Bachelors,Pune,2,Male,No,0
2017,27,5,Bachelors,Bangalore,3,Male,No,1
2013,24,2,Bachelors,Pune,3,Female,No,0
2014,33,1,Masters,Pune,1,Female,No,0
2015,24,2,Masters,New Delhi,3,Female,No,0
2014,27,5,Bachelors,Pune,3,Male,No,0
2014,28,4,Bachelors,Bangalore,3,Male,No,0
2013,33,2,Bachelors,Bangalore,3,Male,No,0
2013,31,2,Bachelors,Pune,2,Female,No,1
2012,39,2,Bachelors,Pune,3,Male,No,0
2017,26,4,Masters,New Delhi,2,Female,No,1
2014,33,4,Bachelors,Pune,3,Male,No,0
2016,33,1,Bachelors,Bangalore,3,Male,No,1
2017,27,5,Masters,New Delhi,2,Male,No,1
2017,27,5,Bachelors,New Delhi,3,Male,No,0
2016,36,0,Bachelors,Pune,3,Male,No,0
2017,37,3,Bachelors,Bangalore,3,Male,No,1
2012,41,4,Bachelors,Bangalore,3,Female,No,0
2015,25,3,Bachelors,Pune,1,Female,No,1
2017,36,2,Bachelors,Bangalore,3,Male,No,0
2018,26,4,PHD,New Delhi,3,Male,No,1
2018,30,2,Masters,New Delhi,3,Male,No,1
2015,26,4,Masters,Pune,2,Female,No,1
2014,27,5,Bachelors,Bangalore,3,Male,No,1
2014,36,0,Bachelors,Bangalore,3,Male,No,0
2017,24,2,Bachelors,New Delhi,3,Male,No,1
2014,27,5,Masters,Pune,3,Female,No,1
2015,33,4,Masters,Pune,2,Male,No,1
2017,29,1,Bachelors,Bangalore,3,Male,No,0
2013,28,2,Masters,Pune,3,Male,No,1
2012,34,5,Bachelors,Bangalore,3,Male,No,0
2017,28,2,Bachelors,Bangalore,3,Male,No,0
