Bid_Open,Bid_High,Bid_Low,Bid_Close,Bid_Volume,Ask_Open,Ask_High,Ask_Low,Ask_Close,Ask_Volume,label
1.00561,1.00625,1.00518,1.00589,5485.3501,1.0059,1.00654,1.00545,1.00611,5514.4302,False
1.00157,1.00162,0.99944,1.00106,3820.03,1.00179,1.00183,0.99955,1.00123,3488.01,True
1.06107,1.06155,1.06035,1.06106,3797.4299,1.06181,1.06217,1.06072,1.06128,3506.74,True
0.97006,0.9706,0.96949,0.96949,1358.38,0.97025,0.97082,0.96971,0.96972,1527.78,False
0.99955,0.99968,0.99845,0.99923,4958.1201,0.99979,0.9999,0.99865,0.99944,4345.6001,False
0.95418,0.95496,0.95354,0.95372,8453.8799,0.95456,0.95521,0.95379,0.95399,9128.7402,False
1.01001,1.01005,1.00801,1.00814,12582.7402,1.01027,1.0103,1.00823,1.00832,13577.0303,False
1.03645,1.0383,1.03615,1.03783,14586.2598,1.03668,1.03852,1.03646,1.03807,15298.3604,False
0.97239,0.9729,0.97211,0.97266,3475.8501,0.97264,0.97323,0.9724,0.97292,3575.5601,True
0.98082,0.9819,0.98059,0.98141,3208.6201,0.98122,0.98226,0.98088,0.98182,4686.1401,True
0.96089,0.96148,0.96076,0.96095,2955.3701,0.96128,0.96176,0.96102,0.96123,2298.02,True
0.9818,0.98317,0.98118,0.98291,7261.6802,0.982,0.98339,0.98138,0.98311,7418.2202,True
0.94596,0.94636,0.94582,0.94588,643.69,0.94624,0.94662,0.94607,0.9462,1164.5699,False
0.98198,0.9824,0.98162,0.98187,5395.4199,0.9822,0.98263,0.98182,0.98212,6076.3599,True
1.06697,1.06819,1.06687,1.06793,9675.3096,1.06722,1.06843,1.06712,1.0682,9760.54,True
1.01952,1.01988,1.01827,1.01842,3872.45,1.01972,1.02002,1.01843,1.01858,3504.1699,False
1.01564,1.01588,1.01546,1.01562,1349.48,1.01577,1.01618,1.01569,1.01592,1026.16,True
1.00428,1.00492,1.00083,1.00202,8607.6602,1.00468,1.00518,1.00106,1.00281,8752.3799,False
0.9751,0.97626,0.97388,0.97407,9708.0303,0.97539,0.97656,0.97444,0.97465,8611.0996,True
0.97498,0.97503,0.97367,0.9744,5383.5801,0.97521,0.97527,0.97391,0.97469,4885.79,False
0.94658,0.94703,0.94494,0.94702,5834.8701,0.94696,0.94733,0.94521,0.94733,6306.1401,True
1.02243,1.02301,1.02205,1.02274,1455.08,1.02263,1.02327,1.02231,1.02294,1263.8101,False
0.95044,0.95073,0.94968,0.94971,5856.1499,0.95081,0.951,0.94996,0.95,7584.6802,False
1.02277,1.02296,1.02201,1.02233,2911.45,1.02306,1.0232,1.02246,1.02277,2828.78,False
0.97064,0.97136,0.96963,0.97038,6194.8501,0.97097,0.97166,0.96992,0.9707,6827.5,False
1.04203,1.04259,1.04191,1.0423,5012.0059,1.0423,1.04288,1.04216,1.04256,4975.022,True
0.91852,0.91863,0.91753,0.91814,4137.75,0.91874,0.91884,0.91772,0.91832,4504.1699,False
0.977,0.97811,0.97511,0.97537,11151.9102,0.97728,0.97836,0.97543,0.97565,10995.5996,False
1.01433,1.01469,1.01301,1.01328,2035.8199,1.01451,1.01486,1.01321,1.01349,2085.74,False
0.98934,0.98935,0.98703,0.98729,8187.4102,0.98961,0.98965,0.98731,0.98755,10783.8496,False
1.05592,1.05744,1.05533,1.05726,12539.0195,1.05618,1.05785,1.0556,1.0575,12344.1104,True
1.03303,1.03333,1.03257,1.03309,9111.1309,1.03328,1.03355,1.03275,1.03331,9391.0068,True
0.93948,0.94061,0.9393,0.94026,4388.4702,0.93971,0.94079,0.93952,0.94049,4566.77,True
1.0191,1.02011,1.01858,1.01863,7168.75,1.01936,1.02043,1.01883,1.01888,7611.6201,False
0.93962,0.94082,0.93926,0.94052,8054.3701,0.93983,0.94105,0.93946,0.94074,7906.6201,True
0.96574,0.96641,0.96472,0.96487,35979.9102,0.96596,0.9666,0.96491,0.96508,36273.4688,False
0.96251,0.96337,0.96236,0.96306,3137.8799,0.96284,0.96356,0.96253,0.96324,4476.3301,True
1.0082,1.00842,1.00726,1.00752,3395.95,1.00834,1.00858,1.00741,1.00768,4122.8901,True
1.01438,1.01567,1.01402,1.01474,7717.6602,1.0146,1.01587,1.01423,1.01496,7930.8901,False
1.00025,1.00057,0.99797,0.99855,4232.1699,1.00063,1.0009,0.99822,0.99882,4167.8599,False
1.00161,1.00274,1.00149,1.00238,5162.4302,1.0018,1.00293,1.00172,1.00261,4682.46,True
0.93747,0.93788,0.93599,0.93646,4842.3999,0.93775,0.93807,0.93628,0.93677,5706.1802,False
1.0027,1.00376,1.00247,1.00288,14696.3604,1.00292,1.004,1.00269,1.00308,14587.4502,True
1.00286,1.00378,1.0027,1.0033,646.32,1.00344,1.00427,1.00323,1.00357,679.34,False
0.95946,0.96024,0.95898,0.96017,2960.8,0.95971,0.96057,0.9593,0.9605,3064.9399,True
0.96163,0.96212,0.96107,0.96157,3080.6201,0.9621,0.96238,0.96147,0.96185,3120.5801,False
0.98674,0.98796,0.98641,0.98753,5423.4702,0.98693,0.9881,0.98662,0.98774,5577.2002,False
1.00219,1.00228,1.0017,1.00181,4702.29,1.00239,1.00252,1.00194,1.00205,4685.71,True
0.9833,0.98433,0.98324,0.98354,6857.3301,0.98354,0.98457,0.98347,0.98378,7179.2798,False
