Bid_Open,Bid_High,Bid_Low,Bid_Close,Bid_Volume,Ask_Open,Ask_High,Ask_Low,Ask_Close,Ask_Volume,label
0.76425,0.76607,0.7625,0.76345,117916.8701,0.7647,0.76625,0.76266,0.7641,118170.2197,True
0.7512,0.7544,0.7497,0.7534,130337.1608,0.75175,0.75458,0.7499,0.7544,131893.15,True
0.73971,0.7416,0.73486,0.7364,120382.9804,0.74044,0.74184,0.73506,0.73767,131698.6887,True
0.72442,0.72485,0.71194,0.71364,60794.9803,0.72556,0.72566,0.71216,0.71526,61653.2998,False
0.96226,0.97491,0.96078,0.97352,110102.0491,0.96345,0.97516,0.96107,0.97473,110048.6802,True
0.96753,0.96812,0.96425,0.96712,104418.6295,0.96801,0.96876,0.96444,0.96823,102384.5596,False
0.84793,0.84833,0.84155,0.84315,178238.9599,0.84836,0.84908,0.84238,0.84328,199036.8584,False
0.81851,0.82209,0.81446,0.81747,97117.2297,0.81872,0.82231,0.81461,0.8177,101053.1895,False
0.72953,0.7328,0.7267,0.72936,90256.97,0.73056,0.733,0.72771,0.73051,95441.9802,False
0.9564,0.96126,0.95435,0.95881,146537.2702,0.95729,0.96144,0.95454,0.96009,147559.7091,False
0.83655,0.8389,0.83435,0.83584,139978.1104,0.8373,0.83908,0.83463,0.83626,164344.7102,True
0.81092,0.81267,0.80531,0.80696,89186.0916,0.81124,0.81289,0.80556,0.80729,105594.4822,True
0.80477,0.80504,0.79846,0.80248,50513.58,0.80503,0.80539,0.79863,0.80267,51501.0298,True
0.80031,0.80215,0.79814,0.79891,52733.7098,0.80091,0.8024,0.79854,0.80013,60976.27,False
0.94407,0.94939,0.94316,0.94877,166553.3594,0.94473,0.95043,0.9438,0.94938,166258.4792,False
0.74935,0.75236,0.74636,0.74654,115261.6409,0.75033,0.75257,0.74659,0.7478,120027.0006,False
0.83017,0.83134,0.82706,0.82947,76310.1599,0.83048,0.83149,0.82713,0.82975,84565.5698,True
0.75169,0.75359,0.73653,0.73655,140072.6293,0.75256,0.75391,0.73691,0.7375,150063.5793,False
0.98057,0.9832,0.96648,0.96967,97569.2501,0.98076,0.98333,0.9667,0.97093,97868.9405,False
0.71295,0.71476,0.71161,0.71227,93505.7804,0.71334,0.71494,0.71178,0.71337,93483.53,True
