Bid_Open,Bid_High,Bid_Low,Bid_Close,Bid_Volume,Ask_Open,Ask_High,Ask_Low,Ask_Close,Ask_Volume,label
95.198,95.679,95.1,95.559,149322.0299,95.265,95.692,95.146,95.57,148242.6892,True
86.493,87.113,86.493,86.984,102028.1998,86.581,87.122,86.527,87.015,106221.1907,True
83.081,83.572,83.047,83.46,92113.2993,83.113,83.577,83.101,83.48,92938.0409,True
91.773,92.433,91.543,91.829,120690.4999,91.811,92.438,91.555,91.858,117179.3503,True
81.846,82.576,81.471,82.349,137231.3402,81.859,82.584,81.484,82.355,130920.9189,False
81.513,81.932,81.272,81.709,150337.409,81.625,81.938,81.279,81.773,150568.3016,True
81.694,83.02,80.88,82.363,209106.5682,81.729,83.033,80.917,82.393,203794.7171,False
87.992,88.277,87.74,87.806,118092.3706,88.069,88.281,87.746,87.88,112896.4104,True
100.665,102.135,100.464,101.5,207951.4198,100.713,102.153,100.515,101.558,209545.2316,False
81.561,81.908,81.107,81.301,198271.0301,81.597,81.918,81.115,81.417,195406.548,False
82.793,83.176,82.125,82.373,197338.8576,82.808,83.184,82.135,82.431,172752.6194,False
84.757,84.855,84.34,84.83,115037.0288,84.78,84.871,84.357,84.851,115422.1794,True
83.246,84.028,82.967,83.851,135560.29,83.277,84.042,82.985,83.874,136336.1112,True
93.717,93.969,93.126,93.652,178505.9916,93.742,93.98,93.137,93.672,182452.7892,False
86.819,87.042,86.325,86.564,229713.24,86.893,87.055,86.337,86.684,227667.3391,False
83.697,84.335,83.444,84.151,142909.8203,83.727,84.343,83.454,84.224,137244.1813,False
86.576,87.033,86.496,86.966,134954.0301,86.698,87.04,86.506,86.983,132557.4909,False
87.268,87.916,87.212,87.848,106884.6304,87.294,87.93,87.239,87.891,94638.0199,True
97.842,98.022,96.61,96.75,210495.161,97.877,98.033,96.631,96.795,208164.1995,False
83.28,83.603,83.213,83.377,151767.6088,83.349,83.608,83.219,83.44,149024.7397,False
87.104,87.457,86.296,86.385,166104.6109,87.121,87.466,86.306,86.494,168280.1499,False
