Bid_Open,Bid_High,Bid_Low,Bid_Close,Bid_Volume,Ask_Open,Ask_High,Ask_Low,Ask_Close,Ask_Volume,label
95.677,95.819,95.665,95.778,2048.1001,95.695,95.825,95.675,95.79,2330.4299,True
97.505,97.591,97.486,97.591,3735.99,97.511,97.609,97.497,97.602,4920.8398,True
78.493,78.519,78.436,78.467,10562.5996,78.504,78.527,78.443,78.476,11385.4404,False
82.471,82.474,82.398,82.471,4299.5801,82.475,82.479,82.402,82.477,3950.26,True
85.007,85.093,84.877,85.002,8183.1602,85.018,85.101,84.884,85.011,8231.5098,False
83.546,83.979,83.537,83.844,12515.7002,83.562,83.991,83.549,83.86,12635.6299,False
88.627,88.736,88.589,88.712,7389.71,88.636,88.745,88.598,88.728,7668.9102,True
87.774,87.812,87.67,87.778,6417.96,87.781,87.821,87.678,87.787,6357.6499,False
87.591,87.718,87.537,87.69,3342.8501,87.645,87.757,87.586,87.729,3528.1001,True
86.398,86.416,86.317,86.317,4327.8901,86.407,86.425,86.325,86.327,4157.7402,False
80.239,80.239,80.146,80.163,3887.1799,80.247,80.252,80.16,80.177,4079.1399,False
80.384,80.422,80.326,80.417,2902.46,80.406,80.436,80.344,80.432,2937.23,True
82.125,82.212,82.095,82.152,5221.1401,82.139,82.224,82.108,82.166,5541.3999,False
100.998,101.141,100.801,100.804,14010.3301,101.016,101.157,100.814,100.829,13979.2998,True
85.227,85.246,84.892,84.91,7140.0801,85.238,85.258,84.908,84.921,7555.3198,False
92.631,92.738,92.589,92.72,3037.8799,92.642,92.75,92.599,92.731,3226.8201,True
78.386,78.386,78.087,78.148,5875.9902,78.395,78.395,78.099,78.157,6118.9199,False
82.307,82.339,82.236,82.267,6018.3398,82.312,82.343,82.241,82.275,6045.1499,False
91.23,91.278,91.22,91.252,2875.48,91.236,91.289,91.23,91.266,3090.05,False
87.13,87.19,87.12,87.157,3527.7,87.136,87.197,87.125,87.163,3284.5,True
79.869,79.944,79.784,79.893,11554.2197,79.883,79.959,79.801,79.909,11050.5996,True
82.527,82.581,82.527,82.543,2067.1599,82.535,82.588,82.535,82.552,2085.6499,False
87.394,87.436,87.322,87.368,5883.1201,87.405,87.445,87.331,87.375,5403.3799,True
100.437,100.703,100.437,100.64,4825.4702,100.449,100.72,100.449,100.65,4117.8999,False
93.476,93.569,93.437,93.54,8206.4502,93.487,93.578,93.449,93.549,7780.8301,True
82.864,82.963,82.864,82.937,3116.8899,82.87,82.967,82.87,82.943,2953.0801,True
87.432,87.432,87.432,87.432,0.0,87.492,87.492,87.492,87.492,0.0,False
84.317,84.369,83.935,83.971,10357.3799,84.323,84.376,83.941,83.976,10695.7305,False
95.161,95.251,95.147,95.244,4844.98,95.171,95.262,95.162,95.254,5057.98,True
82.124,82.148,82.006,82.04,5888.4702,82.13,82.153,82.012,82.045,5345.3999,False
81.435,81.554,81.427,81.529,7732.6001,81.446,81.562,81.434,81.54,8825.3896,True
80.878,80.941,80.844,80.916,6763.6001,80.893,80.955,80.858,80.932,6859.2202,True
87.935,87.953,87.853,87.858,2956.6599,87.96,87.976,87.873,87.89,2899.9299,True
86.961,87.101,86.961,87.028,8994.2402,86.977,87.115,86.977,87.045,8490.1104,True
