Bid_Open,Bid_High,Bid_Low,Bid_Close,Bid_Volume,Ask_Open,Ask_High,Ask_Low,Ask_Close,Ask_Volume,label
1.13696,1.13747,1.13637,1.13702,652.93,1.13732,1.13818,1.13684,1.13787,596.79,False
1.05103,1.05236,1.05101,1.05216,1460.91,1.05145,1.0527,1.05135,1.05243,1435.3199,True
1.00176,1.00445,1.00169,1.00421,2814.3701,1.00212,1.00481,1.00206,1.00456,2480.47,True
1.0282,1.02915,1.02623,1.02757,3607.96,1.02855,1.03019,1.02752,1.02792,3593.0801,False
1.06865,1.0691,1.06825,1.06839,1574.99,1.06905,1.0694,1.06856,1.06865,1362.7,False
1.06258,1.06292,1.06221,1.06254,2887.6899,1.06317,1.06344,1.06278,1.06305,3276.1399,False
1.05665,1.05853,1.0566,1.05777,2081.47,1.05705,1.05877,1.05687,1.05803,2283.6599,False
1.08113,1.08223,1.07985,1.08015,767.5,1.08185,1.08285,1.08055,1.08095,901.5,False
0.99155,0.9925,0.99143,0.99224,1953.1899,0.99198,0.99306,0.99189,0.99286,2309.21,True
1.06011,1.06185,1.05985,1.06168,1282.01,1.0611,1.06231,1.06065,1.06216,1285.08,True
1.03249,1.03292,1.03187,1.03243,4648.02,1.03304,1.03337,1.03243,1.03305,3929.5901,True
1.04845,1.04873,1.0482,1.04857,1561.0699,1.0489,1.04907,1.0486,1.04892,1873.83,True
1.04367,1.04474,1.04344,1.04415,1541.99,1.04393,1.04496,1.04367,1.04441,1507.12,False
1.08051,1.08095,1.08039,1.08055,222.57,1.0829,1.0829,1.08185,1.08185,216.73,True
1.13012,1.13239,1.13012,1.1322,1185.96,1.13064,1.13274,1.13064,1.13256,1208.73,True
1.00775,1.00775,1.00704,1.00755,628.02,1.00888,1.00899,1.00795,1.00825,516.19,False
1.00531,1.00565,1.00387,1.00465,3233.1699,1.00555,1.00593,1.00415,1.00486,3212.72,True
1.00245,1.00352,1.00218,1.00313,770.06,1.00357,1.00397,1.00321,1.00355,795.4,False
1.05071,1.0517,1.05056,1.05147,1753.98,1.05095,1.05195,1.05082,1.05173,1605.37,True
1.2088,1.20951,1.20459,1.2053,2604.54,1.2091,1.20987,1.20489,1.20558,2651.48,False
1.29445,1.29597,1.29288,1.29497,5260.0898,1.29505,1.29642,1.29439,1.29564,5128.1802,True
1.27198,1.27318,1.27078,1.27257,5131.8301,1.27244,1.27363,1.27126,1.27306,4442.1699,False
1.00818,1.00887,1.00685,1.00818,783.76,1.00892,1.01035,1.0083,1.00932,811.36,False
1.01969,1.01985,1.01784,1.01825,4094.01,1.02005,1.02015,1.01815,1.01855,3838.8201,False
0.99832,0.9991,0.99682,0.99788,4253.7002,0.99865,0.99956,0.99748,0.99821,4472.0898,False
1.01092,1.01119,1.00836,1.01058,4679.77,1.01141,1.01189,1.00898,1.01094,4231.77,True
1.03668,1.03708,1.03548,1.03588,1096.29,1.03768,1.03806,1.03649,1.03772,1035.74,False
1.04991,1.05037,1.04733,1.04861,5512.1201,1.05044,1.05093,1.04815,1.04934,5364.0601,False
0.98675,0.98865,0.98665,0.98861,6064.8398,0.98702,0.98903,0.98693,0.98894,5580.2998,False
1.00038,1.00068,0.99925,0.99928,6555.3101,1.0007,1.00103,0.99951,0.99961,6603.5898,False
1.16948,1.17086,1.16926,1.17015,1830.13,1.16985,1.17123,1.16983,1.17055,1788.79,True
1.16339,1.16425,1.16334,1.16414,1903.46,1.16385,1.16466,1.16366,1.16466,1882.9399,True
1.07048,1.07053,1.06985,1.0702,872.35,1.07075,1.07085,1.07015,1.07055,925.06,True
1.16092,1.16192,1.16008,1.16027,2317.6299,1.16139,1.16233,1.16049,1.16054,2339.52,False
