Bid_Open,Bid_High,Bid_Low,Bid_Close,Bid_Volume,Ask_Open,Ask_High,Ask_Low,Ask_Close,Ask_Volume,label
1.00192,1.00211,1.00065,1.001,11167.6104,1.00205,1.00222,1.00077,1.00113,10893.1299,False
0.70366,0.7041,0.70183,0.70265,6468.3701,0.70373,0.7042,0.70194,0.70274,7048.52,False
0.72795,0.72797,0.72711,0.72735,4066.5701,0.72802,0.72806,0.7272,0.72745,3844.79,False
0.78561,0.78698,0.7842,0.78629,10743.7695,0.78567,0.78705,0.78429,0.7864,11299.4404,True
0.77109,0.77261,0.77039,0.77176,4933.3599,0.77113,0.77271,0.77051,0.77188,5018.71,False
0.72166,0.72319,0.72128,0.72257,5932.6099,0.72173,0.72327,0.72138,0.72266,5771.7998,False
0.75858,0.75912,0.75853,0.7587,1282.5,0.75874,0.75939,0.75866,0.75882,1417.73,True
0.76451,0.76497,0.76322,0.7643,8854.1201,0.7646,0.76504,0.7633,0.76439,8692.8203,False
0.79438,0.79489,0.79337,0.79386,7504.3901,0.79444,0.79498,0.79346,0.79395,7676.29,False
0.87642,0.87691,0.8761,0.87633,1881.95,0.87649,0.87698,0.87616,0.8764,1781.6801,False
0.72287,0.7237,0.7226,0.72314,2032.61,0.72307,0.72385,0.72275,0.72326,1988.92,True
0.76814,0.76893,0.7679,0.7688,4360.1201,0.76822,0.76901,0.76797,0.76886,4248.4302,True
1.05346,1.05479,1.05278,1.05453,8762.4199,1.05358,1.05491,1.05292,1.05465,8312.0596,True
0.73858,0.74035,0.73857,0.73905,11394.54,0.73871,0.74042,0.73865,0.73911,11361.0098,False
0.92212,0.92342,0.9217,0.92231,4347.8101,0.92225,0.92352,0.92181,0.92244,4313.7998,False
0.75374,0.75465,0.75301,0.75383,5710.8901,0.75387,0.75474,0.75313,0.75393,6170.0698,False
0.98752,0.98906,0.98742,0.9886,7257.71,0.98763,0.98919,0.98756,0.98874,6755.6499,True
0.93033,0.9306,0.93017,0.93021,1161.95,0.93039,0.93069,0.93023,0.9303,1182.85,False
0.86834,0.86874,0.86803,0.86862,1751.47,0.86841,0.86878,0.86813,0.86867,1825.65,True
1.03219,1.03384,1.03135,1.03194,8961.4805,1.03229,1.03394,1.03146,1.03205,8785.7197,False
1.01759,1.01782,1.01712,1.01764,3483.5601,1.0177,1.01794,1.01724,1.01776,3463.5601,True
0.7638,0.76401,0.76281,0.76307,6612.6201,0.76389,0.76411,0.7629,0.76315,6687.6699,False
0.71571,0.71592,0.71501,0.71518,2744.1899,0.7158,0.71598,0.71513,0.71528,2612.9199,True
0.72544,0.72547,0.72451,0.72469,4161.1899,0.72553,0.72557,0.7246,0.7248,4257.8999,True
1.04421,1.0446,1.04177,1.04211,7564.5801,1.04433,1.04473,1.04188,1.04226,6981.04,False
0.73969,0.74058,0.73866,0.73907,4796.9502,0.7398,0.74074,0.73877,0.73919,4634.6099,False
1.06777,1.0695,1.06745,1.06791,7637.3398,1.06789,1.06962,1.06755,1.06803,7638.1899,False
0.92699,0.92777,0.92623,0.92741,4105.7402,0.92706,0.92783,0.92629,0.92748,4197.23,True
0.77504,0.7762,0.7747,0.77614,5364.3198,0.77515,0.77629,0.7748,0.77624,5496.7798,True
0.87633,0.87668,0.87548,0.87562,3349.7,0.87641,0.87676,0.87554,0.87571,3380.3101,False
0.72254,0.72359,0.72254,0.7233,5442.48,0.72262,0.72369,0.72262,0.7234,5883.5298,True
0.935,0.93557,0.9349,0.9353,2024.37,0.93506,0.93567,0.93499,0.93547,1736.6899,False
1.0792,1.08026,1.07894,1.0799,6672.7202,1.07932,1.08037,1.07904,1.08004,6766.98,True
0.73502,0.7354,0.73466,0.73476,1882.8101,0.73513,0.73551,0.73477,0.73548,1831.41,True
1.04752,1.04775,1.04598,1.04758,10008.1797,1.04762,1.04784,1.04611,1.0477,10473.8096,False
0.76761,0.76833,0.76753,0.76813,2679.1001,0.76765,0.7684,0.76757,0.76821,3423.74,True
0.78391,0.78444,0.78341,0.78351,4057.1599,0.784,0.78452,0.78348,0.78357,3787.1899,False
0.91033,0.91173,0.90969,0.91118,5192.5801,0.91042,0.91181,0.90979,0.91128,5453.5601,True
0.79214,0.79223,0.79166,0.79187,2493.52,0.79223,0.79233,0.79175,0.79194,2548.0601,False
0.7757,0.77624,0.77563,0.77571,5682.4902,0.77578,0.77632,0.7757,0.77581,5876.4902,False
0.77516,0.77662,0.77477,0.77656,5933.6699,0.77525,0.77674,0.7749,0.77668,5301.6099,True
0.77236,0.77253,0.77126,0.77211,3605.01,0.77248,0.77266,0.77137,0.77222,3385.6499,True
0.90514,0.90567,0.90433,0.90464,5894.3799,0.90523,0.90579,0.90446,0.90475,6115.21,False
0.81334,0.81355,0.81121,0.81193,8484.8799,0.81345,0.81364,0.81129,0.81203,7462.1001,False
1.08083,1.0811,1.07919,1.07954,11405.54,1.08095,1.0812,1.07928,1.07961,11882.9902,False
0.92084,0.92189,0.92027,0.92101,9322.54,0.92096,0.922,0.92037,0.9213,9283.3398,True
0.94549,0.94604,0.94466,0.94589,5819.0898,0.94557,0.94611,0.94474,0.94596,5908.4502,True
1.04112,1.04134,1.04101,1.0411,758.99,1.04126,1.04152,1.04119,1.04123,772.12,False
1.05166,1.05264,1.05163,1.05201,2974.78,1.0518,1.05276,1.05173,1.05214,2989.46,True
0.77249,0.77299,0.77079,0.77119,7223.48,0.77259,0.7731,0.77089,0.7713,7486.3301,False
0.94752,0.94811,0.94688,0.94777,5057.6401,0.94764,0.94821,0.94695,0.94786,3548.1399,True
0.71798,0.71882,0.71741,0.71819,2207.3101,0.71841,0.71901,0.71786,0.71833,1971.15,True
0.93227,0.93289,0.93185,0.93277,4187.6699,0.93237,0.93299,0.93193,0.93286,4054.75,True
0.8212,0.82334,0.82087,0.82294,7584.9399,0.82128,0.82344,0.82096,0.82305,6869.6299,True
0.71824,0.71884,0.71773,0.71868,3715.1399,0.71835,0.71894,0.71783,0.71878,3414.53,True
1.04113,1.04144,1.04074,1.04103,2266.21,1.0413,1.04159,1.0409,1.04127,1975.0601,False
0.70824,0.70938,0.70761,0.70902,6261.21,0.70834,0.70947,0.70772,0.70911,6651.96,True
0.75731,0.75786,0.75665,0.75709,3948.6201,0.7574,0.75794,0.75675,0.7572,4477.1699,False
0.76038,0.76171,0.75994,0.76106,26094.3203,0.76046,0.7618,0.76002,0.76115,25609.2891,True
0.71633,0.71692,0.71529,0.71628,5677.8901,0.71642,0.717,0.71535,0.71639,6080.71,False
0.72764,0.72885,0.72703,0.72835,3978.53,0.72775,0.72896,0.72715,0.72846,3599.3799,False
0.72623,0.72637,0.7257,0.72578,3440.28,0.72631,0.72645,0.72578,0.72587,3232.3601,False
0.71264,0.71412,0.71254,0.71332,4175.0098,0.71275,0.71421,0.71261,0.7134,4119.1201,True
0.87357,0.87384,0.87248,0.87378,2391.96,0.87364,0.87393,0.87254,0.87385,2498.72,True
0.72971,0.73041,0.72955,0.73021,2881.48,0.72981,0.73072,0.72963,0.73072,2773.2,False
1.03301,1.03301,1.03098,1.03128,7299.8101,1.03314,1.03317,1.03112,1.0314,7543.6401,False
0.74679,0.74692,0.74577,0.74661,3370.3601,0.74691,0.74703,0.74585,0.74673,3588.9199,True
0.93539,0.93566,0.93532,0.93553,1257.8,0.93547,0.93586,0.93539,0.93575,1253.08,True
0.72649,0.7277,0.72512,0.72672,5252.8301,0.72658,0.72783,0.72535,0.72679,5197.3599,False
0.95378,0.95384,0.95225,0.95238,5978.3301,0.95383,0.95391,0.9523,0.95245,6145.4502,False
0.90581,0.90671,0.90581,0.90627,3500.22,0.90588,0.90678,0.90587,0.90637,3289.76,False
0.72981,0.73275,0.72932,0.73194,8947.4297,0.72991,0.73285,0.7294,0.73206,10006.4902,False
1.0333,1.03393,1.03233,1.03332,6376.8101,1.03342,1.03407,1.03245,1.03344,6493.1401,False
0.72142,0.72209,0.72121,0.72151,2649.4199,0.72153,0.7222,0.72134,0.72161,2816.9399,False
0.76353,0.76368,0.76252,0.76351,6957.1201,0.76361,0.76377,0.76262,0.76362,7824.21,True
0.74079,0.74143,0.74066,0.74086,7975.6401,0.74089,0.74152,0.74074,0.74093,9009.1699,False
0.74813,0.7487,0.74782,0.74851,4851.5601,0.74823,0.74877,0.74791,0.74861,4922.3999,False
0.74918,0.74965,0.74397,0.74482,7542.7002,0.74926,0.74972,0.74405,0.74496,8418.6699,False
0.85445,0.85539,0.85401,0.85532,1415.0601,0.85452,0.85545,0.85411,0.85539,1684.59,True
0.71525,0.71548,0.71343,0.71374,5679.2998,0.71532,0.71555,0.71349,0.7138,4820.7202,False
0.70944,0.71182,0.70922,0.71166,8280.4199,0.70953,0.71191,0.70931,0.71177,8027.4102,False
0.75921,0.76047,0.75874,0.75928,4326.1899,0.75935,0.76061,0.75885,0.7594,4178.7402,True
0.78674,0.78802,0.78628,0.78688,7788.8198,0.78686,0.78817,0.78641,0.78703,7318.4399,False
0.92879,0.9288,0.92698,0.92758,4000.99,0.92888,0.92888,0.92703,0.92765,3733.2,False
1.0448,1.04525,1.04326,1.04454,2532.5901,1.04518,1.04557,1.0435,1.04482,2313.6599,False
1.03058,1.03096,1.03048,1.03083,1286.01,1.03076,1.03113,1.03065,1.03096,1526.89,True
0.72853,0.7304,0.72821,0.72901,12101.4902,0.72863,0.73046,0.72828,0.72907,12069.8203,False
