Bid_Open,Bid_High,Bid_Low,Bid_Close,Bid_Volume,Ask_Open,Ask_High,Ask_Low,Ask_Close,Ask_Volume,label
96.997,97.582,96.688,97.287,135156.5092,97.053,97.597,96.705,97.339,133199.3902,False
85.11,85.199,84.098,84.386,151178.3798,85.126,85.209,84.105,84.446,149133.3395,False
77.732,77.86,76.982,77.273,350035.5167,77.773,77.909,76.995,77.347,357366.1501,True
95.419,95.776,95.069,95.463,160162.0399,95.456,95.792,95.084,95.495,166583.9205,False
90.423,90.57,90.185,90.374,166559.3382,90.465,90.584,90.196,90.432,143046.5705,True
82.386,82.879,82.083,82.602,154296.1901,82.417,82.887,82.092,82.621,158719.7898,True
93.73,93.897,93.716,93.86,41768.9799,93.802,93.907,93.741,93.887,41083.1898,True
85.08,85.187,84.785,84.983,105426.3402,85.109,85.227,84.794,85.046,103360.8995,True
93.992,94.005,93.572,93.883,79193.6204,94.038,94.038,93.581,93.9,82404.0394,True
92.226,92.547,91.726,91.901,162563.9907,92.262,92.558,91.736,91.927,163411.6888,False
80.528,81.808,80.488,80.681,191549.2678,80.636,81.816,80.497,80.709,195978.0097,False
105.192,106.417,105.098,106.168,148222.5814,105.216,106.427,105.112,106.327,153965.8088,True
81.817,82.988,81.418,82.798,159657.7912,81.898,82.998,81.782,82.862,157817.8606,True
84.203,84.243,82.994,83.546,186161.0101,84.22,84.278,83.006,83.57,185137.8515,True
93.778,94.098,93.276,93.327,96514.1706,93.801,94.112,93.288,93.359,96278.4097,False
95.463,97.006,95.427,96.888,150775.84,95.511,97.078,95.471,97.067,149159.9391,True
98.993,99.167,98.477,98.803,164372.6998,99.035,99.248,98.491,98.857,163747.53,False
76.97,77.465,76.866,77.438,137629.0603,76.993,77.484,76.88,77.465,135219.0003,True
79.897,80.162,79.681,79.73,99727.2672,79.938,80.177,79.698,79.776,98940.3639,True
85.152,86.021,85.022,85.653,211022.5197,85.187,86.025,85.038,85.704,214931.5301,False
86.105,86.481,86.017,86.159,133405.02,86.202,86.488,86.055,86.196,135737.3811,True
86.116,86.605,85.968,86.362,148266.0608,86.158,86.611,85.978,86.375,147770.7095,False
87.031,87.261,86.947,87.209,94060.1491,87.1,87.27,86.954,87.225,91982.0502,False
92.998,93.433,92.795,93.32,180060.4194,93.048,93.449,92.813,93.388,182973.4206,True
97.155,97.268,96.64,96.988,83777.8,97.196,97.28,96.647,97.009,94142.2607,False
84.886,85.3,84.673,84.725,118640.7992,84.916,85.31,84.683,84.739,116590.6999,False
75.367,75.788,75.146,75.301,100073.39,75.403,75.802,75.161,75.325,96384.5298,False
96.395,97.714,96.39,97.706,154403.0896,96.52,97.75,96.462,97.736,153992.6121,True
86.801,87.053,86.558,86.969,112334.0899,86.848,87.062,86.569,86.988,111656.0395,True
96.777,97.073,96.095,96.553,95367.7994,96.801,97.084,96.222,96.607,103170.9399,False
77.442,77.639,76.448,77.364,209299.7894,77.484,77.658,76.463,77.416,211922.1383,True
100.199,100.827,99.954,100.207,105203.7306,100.364,100.841,99.968,100.23,107300.3995,False
89.411,89.928,89.076,89.202,145231.0703,89.449,89.933,89.086,89.237,145885.1608,False
87.278,87.435,86.512,86.632,179891.7798,87.299,87.451,86.518,86.653,178027.4894,False
85.681,85.867,85.408,85.453,103486.1294,85.703,85.878,85.426,85.535,99097.5995,True
97.706,97.996,97.028,97.412,145042.2406,97.739,98.017,97.045,97.453,146940.3803,True
87.446,87.898,87.401,87.703,107593.1596,87.517,87.912,87.409,87.826,111111.79,False
85.966,86.002,84.846,85.358,221586.6716,86.022,86.055,84.854,85.41,210581.2804,False
92.6,92.766,91.572,91.655,70775.6705,92.684,92.793,91.592,91.696,70142.7896,False
86.72,86.949,86.118,86.557,224346.8304,86.745,86.961,86.126,86.577,224055.4688,True
95.713,95.904,95.384,95.842,115493.8704,95.773,95.918,95.394,95.881,114641.7789,False
93.073,93.753,92.919,93.348,130004.4397,93.122,93.812,92.932,93.371,127559.9104,False
78.403,78.648,77.981,78.058,143514.8491,78.421,78.658,77.989,78.071,141602.4709,False
88.609,88.78,88.031,88.377,202430.2112,88.633,88.789,88.04,88.503,195050.5182,False
95.378,95.835,94.462,94.745,141735.7999,95.438,95.848,94.47,94.767,147221.8712,False
86.475,86.81,86.386,86.447,121251.0904,86.533,86.819,86.404,86.494,117310.2207,False
100.276,100.431,99.366,100.349,143108.9399,100.337,100.479,99.384,100.443,143823.8512,False
95.253,95.387,94.176,94.282,124547.2698,95.278,95.399,94.187,94.297,122837.4697,False
84.468,84.897,84.367,84.628,120747.2507,84.528,84.915,84.375,84.64,119644.9494,False
96.748,97.186,96.547,97.155,79253.5897,96.782,97.196,96.557,97.187,87897.3603,True
86.727,87.347,86.667,87.313,138640.4003,86.773,87.358,86.676,87.351,139210.7904,True
104.488,104.932,104.392,104.492,139595.0193,104.534,104.945,104.402,104.515,133446.6599,True
86.779,87.25,86.724,87.179,123445.3198,86.892,87.258,86.735,87.2,123750.6711,True
78.16,78.543,77.529,77.785,178749.8609,78.182,78.552,77.539,77.802,173789.2895,False
95.687,95.981,95.007,95.264,151582.41,95.731,95.992,95.016,95.291,150955.5092,False
97.699,97.745,96.613,96.657,143292.5893,97.735,97.768,96.625,96.68,145564.3586,False
93.843,93.931,92.71,93.237,157033.8507,93.877,93.979,92.729,93.293,156547.6708,False
79.369,79.684,79.28,79.513,81718.0105,79.403,79.7,79.294,79.57,81598.8197,False
85.531,86.288,85.514,86.282,168243.5215,85.58,86.315,85.529,86.309,170106.88,True
93.628,94.557,93.623,94.373,101865.3613,93.67,94.568,93.668,94.403,151694.0895,True
93.978,94.587,93.902,94.377,77292.6094,94.012,94.598,93.921,94.448,78432.7497,False
79.293,79.563,79.191,79.369,56496.9506,79.354,79.574,79.208,79.405,55807.3348,True
92.041,92.33,91.617,92.228,125951.3104,92.073,92.341,91.627,92.262,122121.9504,True
81.273,82.49,81.23,82.325,155336.9503,81.319,82.502,81.262,82.386,157210.9089,True
95.981,96.045,95.166,95.27,99615.4291,96.021,96.067,95.178,95.402,142478.1604,False
84.297,84.48,84.002,84.003,153539.5503,84.367,84.492,84.011,84.017,154046.2301,False
79.241,79.308,78.472,78.919,88913.5792,79.284,79.323,78.483,79.022,88589.2824,False
84.561,84.754,83.856,84.7,138610.4596,84.58,84.775,83.865,84.757,140131.5797,True
85.058,85.139,84.577,84.879,146280.6608,85.082,85.152,84.585,84.896,140442.8887,True
85.958,86.291,85.655,86.115,157996.7607,86.012,86.299,85.661,86.129,160512.3004,False
92.752,93.287,92.04,92.882,184276.1383,92.788,93.303,92.056,92.942,185475.828,True
86.311,87.117,86.09,86.988,189253.77,86.328,87.198,86.108,87.165,168684.3692,True
79.282,79.411,78.462,78.643,248619.2283,79.352,79.426,78.472,78.822,234848.4585,True
93.809,93.898,93.007,93.108,94852.3201,93.832,93.927,93.017,93.143,90229.3207,False
82.602,83.058,82.104,82.811,180524.6901,82.633,83.067,82.116,82.928,182020.1004,True
88.726,89.241,88.569,88.689,152072.3907,88.863,89.251,88.578,88.707,151173.4594,False
85.187,85.655,85.187,85.471,95073.4294,85.338,85.661,85.267,85.517,98512.1401,True
95.108,95.576,94.774,95.086,91876.1792,95.192,95.591,94.783,95.125,89622.1998,False
89.85,90.087,88.592,88.888,160308.7612,89.888,90.136,88.6,88.902,162723.8098,False
95.359,95.41,94.651,95.174,124449.4314,95.388,95.423,94.741,95.195,128513.1808,True
91.947,93.185,91.819,93.147,162384.6795,92.009,93.208,91.835,93.178,161109.9193,True
86.696,86.762,85.947,86.13,130933.0198,86.723,86.774,85.953,86.222,126594.4008,False
85.922,86.232,84.988,85.83,185914.8097,85.979,86.245,84.999,85.847,187104.251,True
86.993,87.237,86.756,86.966,130948.3306,87.013,87.247,86.766,87.005,134939.4302,False
94.596,95.88,94.512,95.846,111758.7292,94.658,95.895,94.522,95.868,113154.8104,True
90.684,91.125,90.307,90.941,119452.671,90.759,91.145,90.323,90.971,120214.8901,True
93.956,93.996,93.603,93.904,100195.1609,93.98,94.013,93.638,93.936,102070.5499,False
94.143,94.856,94.068,94.499,138156.8894,94.208,94.867,94.082,94.532,136553.7199,True
82.798,83.503,81.7,82.247,212364.3806,82.857,83.517,81.709,82.318,213047.0713,True
95.582,95.64,94.53,94.917,138927.8799,95.623,95.658,94.539,95.038,137641.5593,False
90.827,91.855,90.348,91.009,195243.0499,90.943,91.873,90.365,91.048,196500.5794,False
97.859,98.285,97.667,97.95,107886.2994,97.892,98.298,97.682,98.034,110237.0594,True
92.051,93.616,92.049,93.58,154174.5792,92.109,93.641,92.109,93.609,157999.0608,True
95.639,97.152,95.615,96.903,161002.9909,95.659,97.171,95.659,96.994,159840.7693,True
94.512,95.712,94.373,95.616,133326.7801,94.54,95.717,94.387,95.638,131718.1404,True
83.657,85.246,83.462,85.161,236938.9028,83.681,85.263,83.477,85.187,237623.5909,True
96.178,96.508,95.943,96.421,111701.0597,96.212,96.521,95.96,96.451,122502.0904,True
85.014,85.193,84.468,84.744,99610.5999,85.085,85.2,84.476,84.768,99207.8608,False
98.647,99.511,98.602,99.356,142581.7297,98.678,99.528,98.611,99.42,142010.7604,False
90.338,90.487,89.45,89.494,143526.5107,90.409,90.501,89.461,89.521,144342.2892,False
