Bid_Open,Bid_High,Bid_Low,Bid_Close,Bid_Volume,Ask_Open,Ask_High,Ask_Low,Ask_Close,Ask_Volume,label
82.705,82.796,82.687,82.781,5855.6099,82.751,82.834,82.742,82.815,5964.46,False
85.915,85.961,85.875,85.916,4319.3398,85.957,86.006,85.916,85.934,4102.27,False
89.076,89.106,89.071,89.089,2159.7,89.093,89.123,89.09,89.103,2140.8201,False
86.446,86.473,85.996,86.139,18643.2109,86.459,86.484,86.004,86.146,17674.4707,False
95.26,95.272,95.24,95.251,1668.27,95.275,95.286,95.253,95.267,1924.02,True
97.98,98.172,97.917,98.17,9113.5303,98.003,98.181,97.948,98.181,9205.3799,False
77.179,77.185,77.013,77.083,21348.9902,77.19,77.196,77.024,77.097,23005.4102,False
75.924,75.97,75.903,75.924,3423.04,75.941,75.988,75.923,75.942,3682.4399,False
80.828,80.892,80.76,80.877,5331.48,80.836,80.902,80.771,80.888,5709.4199,False
80.233,80.312,80.219,80.299,2722.24,80.249,80.337,80.238,80.329,2702.3201,True
91.051,91.097,91.026,91.044,2153.95,91.096,91.127,91.041,91.061,2685.97,False
85.863,86.264,85.853,86.254,9353.3203,85.873,86.277,85.862,86.267,10196.2803,True
84.971,85.008,84.942,84.966,2295.9099,84.979,85.018,84.95,84.974,2479.03,True
85.016,85.44,85.016,85.436,8413.9297,85.027,85.449,85.027,85.445,8393.1797,True
99.376,99.404,99.342,99.373,2378.96,99.392,99.418,99.354,99.387,2314.28,True
82.828,83.041,82.724,83.014,8845.4902,82.838,83.049,82.731,83.022,8651.9697,True
92.071,92.208,92.024,92.07,5462.0698,92.08,92.217,92.034,92.082,5641.2598,True
96.743,96.823,96.728,96.778,2377.05,96.757,96.831,96.737,96.79,2204.99,False
85.091,85.752,85.081,85.601,10467.2998,85.1,85.763,85.09,85.615,10428.9102,True
88.242,88.245,88.03,88.144,5773.3599,88.252,88.255,88.043,88.155,6296.9199,False
80.899,81.123,80.849,81.114,9956.1201,80.912,81.135,80.86,81.127,10135.3096,True
87.079,87.19,87.036,87.076,10079.9697,87.087,87.2,87.047,87.085,10154.25,False
82.467,82.486,82.222,82.237,5734.8701,82.485,82.504,82.237,82.271,5406.6201,True
86.917,87.002,86.695,86.78,5977.4302,86.924,87.014,86.708,86.791,6464.6401,False
75.862,76.03,75.844,76.017,4707.1401,75.889,76.046,75.859,76.034,4586.3901,True
97.128,97.303,97.07,97.283,4484.8301,97.142,97.315,97.079,97.297,4890.54,True
88.312,88.347,88.289,88.322,2499.23,88.324,88.356,88.299,88.335,2516.47,True
89.775,89.778,89.723,89.75,3602.8899,89.787,89.79,89.734,89.762,3404.8,False
75.647,75.697,75.608,75.614,1343.28,75.672,75.719,75.629,75.634,1308.84,False
95.1,95.108,95.013,95.092,2366.3401,95.109,95.113,95.025,95.104,2619.9299,True
80.141,80.337,80.098,80.265,5529.5498,80.157,80.36,80.113,80.281,5196.79,False
86.593,86.625,86.56,86.56,2119.3799,86.607,86.638,86.572,86.573,2035.5601,False
86.851,86.928,86.617,86.629,8408.4004,86.86,86.939,86.624,86.639,8358.5303,False
89.437,89.437,89.108,89.236,7332.1699,89.457,89.457,89.133,89.26,7468.96,False
78.381,78.381,78.247,78.336,2716.01,78.395,78.395,78.264,78.353,2579.05,True
80.959,81.013,80.856,80.921,5147.46,80.968,81.025,80.871,80.933,5143.3701,True
92.061,92.08,91.973,92.021,919.56,92.09,92.102,92.0,92.054,934.08,False
86.553,86.569,86.521,86.529,2243.53,86.568,86.578,86.533,86.539,2235.5801,True
95.512,95.529,95.501,95.523,1812.36,95.521,95.542,95.514,95.536,2207.52,True
91.68,91.746,91.588,91.676,3836.3799,91.69,91.752,91.596,91.686,3756.3301,False
83.077,83.136,82.974,82.986,6141.7998,83.085,83.144,82.983,82.996,6082.25,False
75.1,75.154,74.857,75.138,13677.8896,75.113,75.17,74.878,75.152,13426.75,True
81.008,81.131,81.008,81.073,859.54,81.051,81.193,81.051,81.139,862.22,False
90.411,90.552,90.307,90.541,8841.4102,90.431,90.567,90.323,90.555,8912.4805,True
85.094,85.133,85.055,85.068,3572.76,85.1,85.141,85.066,85.091,3598.0801,True
92.499,92.593,92.355,92.355,5518.6401,92.511,92.603,92.366,92.366,5109.7002,False
92.625,92.658,92.554,92.566,2290.1201,92.635,92.669,92.563,92.575,2101.6201,False
98.225,98.351,98.072,98.289,8340.4502,98.238,98.37,98.089,98.306,8273.96,True
85.296,85.326,85.289,85.317,2862.78,85.307,85.336,85.298,85.327,2604.3701,False
91.778,91.818,91.674,91.708,2800.27,91.787,91.829,91.686,91.719,2637.05,False
85.445,85.902,85.297,85.85,15146.6797,85.454,85.912,85.345,85.858,16362.3896,False
86.186,86.261,86.127,86.13,2875.01,86.197,86.275,86.138,86.222,2974.55,False
79.05,79.145,78.857,78.869,18720.0195,79.06,79.156,78.867,78.875,16963.4395,False
94.823,94.825,94.456,94.456,9697.46,94.834,94.836,94.471,94.471,9494.1396,False
78.082,78.082,77.943,78.072,11685.9902,78.091,78.091,77.951,78.078,11201.8799,True
96.837,96.976,96.832,96.962,2761.51,96.846,96.983,96.838,96.971,2739.8301,True
93.167,93.344,93.167,93.325,4021.4299,93.179,93.354,93.179,93.337,4173.4702,True
83.828,83.892,83.752,83.777,5626.5098,83.838,83.907,83.762,83.788,5904.4399,True
85.685,85.713,85.648,85.655,2345.2,85.7,85.726,85.66,85.667,2561.54,False
88.491,88.512,88.404,88.454,5975.8999,88.504,88.521,88.413,88.464,6754.8501,True
84.947,84.987,84.87,84.89,4389.9702,84.954,84.998,84.879,84.9,4575.79,False
87.003,87.079,86.936,86.939,2135.27,87.124,87.147,87.002,87.002,1978.0,True
81.412,81.437,81.36,81.384,4661.8101,81.426,81.45,81.376,81.401,4364.3901,False
86.645,86.748,86.512,86.733,7629.3301,86.653,86.806,86.52,86.778,6827.7598,True
104.193,104.261,104.174,104.253,4260.8198,104.208,104.278,104.186,104.27,3221.96,True
89.815,89.892,89.751,89.757,6322.1099,89.833,89.906,89.764,89.774,6625.98,False
82.882,82.89,82.83,82.86,2827.4299,82.895,82.902,82.841,82.867,2620.48,True
87.504,87.68,87.496,87.665,6043.29,87.563,87.7,87.538,87.693,6730.48,True
