N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,label
130.0,1864.0,45.0,53.0,0.0,0.0,0.0,5.0,0.0,5.0,6.0,108.0,1.02771709743701,1
132.0,2863.0,24.0,16.0,4.0,0.0,0.0,30.0,0.0,20.0,9.0,73.0,1.02771709743701,1
336.0,717.0,64.0,147.0,2.0,0.0,0.0,2.0,0.0,27.0,9.0,260.0,1.20440316450483,0
1372.0,2695.0,158.0,1047.0,3.0,0.0,0.0,1.0,17.0,60.0,31.0,916.0,0.865617488080534,0
544.0,2583.0,68.0,10.0,0.0,0.0,0.0,12.0,0.0,0.0,3.0,527.0,0.982449108801872,0
212.0,27.0,22.0,81.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,191.0,0.594368207936839,1
268.0,1382.0,58.0,85.0,48.0,0.0,0.0,2.0,1.0,0.0,0.0,261.0,0.982449108801872,0
1668.0,3460.0,278.0,726.0,68.0,0.0,0.0,23.0,17.0,11.0,3.0,1599.0,0.661673179614133,1
378.0,2785.0,14.0,8.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,372.0,0.982449108801872,1
52.0,5.0,4.0,33.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,49.0,1.05714931610548,1
141.0,907.0,39.0,39.0,2.0,0.0,0.0,3.0,2.0,0.0,5.0,102.0,0.594368207936839,1
1128.0,3177.0,174.0,280.0,40.0,0.0,0.0,7.0,7.0,11.0,42.0,1047.0,0.661673179614133,0
1293.0,2832.0,312.0,385.0,18.0,0.0,0.0,88.0,5.0,87.0,15.0,1058.0,1.48165413798567,1
40055.0,1094.0,891.0,2675.0,219.0,0.0,0.0,106.0,110.0,2284.0,91.0,35874.0,0.661673179614133,1
1023.0,2731.0,137.0,304.0,14.0,0.0,0.0,15.0,5.0,21.0,59.0,910.0,0.661673179614133,0
55.0,97.0,13.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,0.411985187306913,0
76.0,438.0,6.0,8.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0,68.0,1.05714931610548,1
293.0,44.0,27.0,148.0,6.0,0.0,0.0,38.0,0.0,1.0,64.0,187.0,0.915024129447388,0
146.0,84.0,21.0,60.0,0.0,0.0,0.0,55.0,1.0,1.0,43.0,35.0,0.594368207936839,1
1111.0,2460.0,182.0,235.0,6.0,0.0,0.0,159.0,49.0,163.0,49.0,617.0,1.48165413798567,0
9001.0,4672.0,926.0,2229.0,297.0,17.0,0.0,107.0,46.0,267.0,151.0,7812.0,0.865617488080534,1
65.0,391.0,14.0,21.0,0.0,0.0,0.0,2.0,4.0,0.0,8.0,51.0,1.86500803160946,1
2066.0,1549.0,397.0,173.0,0.0,0.0,0.0,38.0,0.0,10.0,2.0,1034.0,0.865617488080534,1
244.0,589.0,70.0,47.0,2.0,0.0,0.0,10.0,1.0,80.0,11.0,140.0,0.982449108801872,2
62.0,3560.0,26.0,16.0,2.0,0.0,0.0,8.0,0.0,2.0,1.0,51.0,1.05714931610548,1
140.0,1641.0,46.0,31.0,0.0,0.0,0.0,28.0,6.0,7.0,7.0,92.0,0.594368207936839,1
987.0,2754.0,78.0,135.0,34.0,0.0,0.0,12.0,1.0,25.0,2.0,925.0,1.48165413798567,1
88.0,72.0,19.0,6.0,0.0,0.0,0.0,6.0,1.0,3.0,3.0,75.0,1.05714931610548,2
9088.0,4308.0,822.0,4842.0,472.0,3.0,0.0,409.0,524.0,535.0,351.0,6083.0,0.661673179614133,1
299.0,2200.0,72.0,63.0,2.0,0.0,0.0,82.0,0.0,5.0,0.0,193.0,0.831953524648453,1
