N1,N2,N3,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,label
11061.0,0.92,17.0,city_103,Male,No relevent experience,Full time course,Graduate,STEM,3,,,1,1
31815.0,0.926,85.0,city_114,Male,Has relevent experience,no_enrollment,High School,,8,10000+,Pvt Ltd,2,0
16533.0,0.555,50.0,city_145,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,,,1,0
1974.0,0.624,27.0,city_21,,Has relevent experience,Full time course,Graduate,STEM,9,,,>4,1
16430.0,0.624,10.0,city_21,,No relevent experience,Full time course,,,3,,,,1
30909.0,0.91,146.0,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,1
2760.0,0.624,9.0,city_21,Male,Has relevent experience,Full time course,Graduate,STEM,1,500-999,Pvt Ltd,1,1
19833.0,0.887,44.0,city_100,Male,Has relevent experience,no_enrollment,Masters,STEM,6,<10,Pvt Ltd,1,0
13266.0,0.682,32.0,city_19,,Has relevent experience,no_enrollment,Graduate,STEM,3,<10,Early Stage Startup,1,0
22750.0,0.624,150.0,city_21,Male,No relevent experience,no_enrollment,Graduate,STEM,3,50-99,Early Stage Startup,1,1
19449.0,0.624,82.0,city_21,Male,Has relevent experience,,Graduate,STEM,7,100-500,Pvt Ltd,4,0
2304.0,0.83,310.0,city_77,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10/49,Pvt Ltd,4,0
21741.0,0.8959999999999999,322.0,city_50,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,,,2,0
20489.0,0.91,64.0,city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,>4,0
10262.0,0.92,21.0,city_103,,No relevent experience,Full time course,Graduate,STEM,5,,,never,1
1194.0,0.926,39.0,city_114,Male,No relevent experience,no_enrollment,Masters,STEM,19,100-500,Pvt Ltd,4,0
6421.0,0.91,45.0,city_16,Male,Has relevent experience,no_enrollment,,,7,,,1,0
10471.0,0.92,40.0,city_103,,No relevent experience,Full time course,High School,,3,,,1,1
6543.0,0.899,28.0,city_23,Male,Has relevent experience,no_enrollment,Graduate,No Major,>20,1000-4999,Pvt Ltd,>4,0
8245.0,0.884,17.0,city_71,,Has relevent experience,no_enrollment,Graduate,STEM,14,100-500,Pvt Ltd,>4,0
4771.0,0.794,6.0,city_105,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,,3,0
14677.0,0.924,107.0,city_104,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,100-500,Public Sector,2,0
30151.0,0.738,94.0,city_123,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,1,0
3401.0,0.866,33.0,city_57,Male,Has relevent experience,Part time course,Graduate,STEM,4,50-99,,1,0
6819.0,0.624,52.0,city_21,,No relevent experience,no_enrollment,High School,,1,,,never,0
28550.0,0.926,26.0,city_114,Male,No relevent experience,no_enrollment,Graduate,STEM,<1,,,>4,0
5074.0,0.698,76.0,city_24,,No relevent experience,Full time course,High School,,8,,,1,1
26731.0,0.92,101.0,city_103,Female,Has relevent experience,no_enrollment,Masters,STEM,6,10000+,Pvt Ltd,1,0
13950.0,0.92,30.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,1
22142.0,0.55,144.0,city_11,,No relevent experience,Full time course,Graduate,STEM,2,,,1,1
9189.0,0.899,146.0,city_23,,Has relevent experience,no_enrollment,High School,,6,50-99,,1,0
20336.0,0.939,5.0,city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,,,1,0
