Var6,Var13,Var21,Var22,Var24,Var25,Var28,Var35,Var38,Var57,Var65,Var73,Var74,Var76,Var78,Var81,Var83,Var85,Var109,Var112,Var113,Var119,Var123,Var125,Var126,Var132,Var133,Var134,Var140,Var144,Var149,Var153,Var160,Var163,Var194,Var196,Var201,Var203,Var205,Var207,Var208,Var210,Var211,Var218,Var221,Var223,Var225,Var227,Var229,label
1281.0,312.0,140.0,175.0,2.0,64.0,186.64,0.0,81096.0,1.700919,9.0,48.0,21.0,2764800.0,0.0,35059.2,5.0,8.0,32.0,32.0,103218.0,670.0,24.0,29097.0,4.0,0.0,5684600.0,1352194.0,2945.0,27.0,396116.0,10096040.0,28.0,1894728.0,3,0,2,0,1,10,0,5,0,0,4,0,0,2,0,0
889.0,3204.0,24.0,30.0,2.0,0.0,166.56,0.0,0.0,2.408673,27.0,106.0,14.0,260776.0,0.0,27184.14,0.0,2.0,8.0,8.0,276826.8,40.0,0.0,46764.0,-30.0,0.0,1713990.0,0.0,40.0,18.0,228179.0,1702924.0,8.0,302016.0,1,0,1,0,0,4,0,5,0,0,5,0,1,3,0,1
504.0,1408.0,68.0,85.0,6.0,32.0,186.64,0.0,0.0,3.666311,9.0,106.0,7.0,232640.0,0.0,43810.5,0.0,4.0,32.0,32.0,-798980.0,295.0,0.0,55827.0,-30.0,0.0,292380.0,51992.0,540.0,18.0,123718.0,471244.0,14.0,25554.0,1,0,1,0,1,8,0,5,0,1,6,1,1,1,0,1
651.0,248.0,40.0,50.0,0.0,0.0,201.36,0.0,0.0,4.147618,9.0,60.0,21.0,30384.0,0.0,9868.801,0.0,8.0,32.0,32.0,-19739.0,135.0,0.0,127395.0,36.0,0.0,19260.0,0.0,195.0,0.0,0.0,81108.0,4.0,75762.0,3,0,2,0,2,10,0,5,0,1,4,0,0,2,0,1
4326.0,536.0,972.0,1215.0,50.0,536.0,200.0,0.0,6588.0,6.463149,9.0,98.0,147.0,2436616.0,0.0,21575.73,0.0,62.0,288.0,368.0,16049.28,3370.0,6.0,7407.0,-30.0,0.0,3827070.0,457096.0,4840.0,9.0,404663.0,5616240.0,196.0,626532.0,3,0,2,0,1,10,0,5,0,0,4,0,3,2,0,1
945.0,32.0,48.0,60.0,0.0,48.0,220.08,0.0,11400060.0,6.604999,9.0,58.0,0.0,0.0,0.0,67933.2,5.0,0.0,8.0,0.0,378926.4,555.0,24.0,60228.0,-30.0,8.0,29755.0,338730.0,25.0,9.0,0.0,9374320.0,2.0,0.0,1,0,1,0,1,10,0,5,0,0,4,0,1,2,0,1
511.0,0.0,128.0,160.0,0.0,16.0,362.72,0.0,7581480.0,6.615467,9.0,28.0,0.0,1382400.0,0.0,220907.4,35.0,0.0,32.0,16.0,158925.6,515.0,90.0,0.0,4.0,0.0,2123715.0,334810.0,0.0,18.0,0.0,10533400.0,12.0,0.0,3,0,2,0,1,10,0,5,0,0,4,4,3,2,4,0
2177.0,4.0,360.0,450.0,6.0,184.0,220.08,0.0,161124.0,0.036103,9.0,166.0,21.0,1146304.0,0.0,8588.91,40.0,18.0,152.0,152.0,-98563.2,1225.0,60.0,36.0,4.0,0.0,285115.0,236968.0,140.0,27.0,253463.0,1632092.0,42.0,220326.0,3,0,2,0,1,4,0,5,0,1,6,0,0,3,0,0
280.0,0.0,140.0,175.0,4.0,56.0,220.08,0.0,4961796.0,4.094424,18.0,18.0,0.0,1519288.0,0.0,206803.2,30.0,4.0,32.0,24.0,139848.0,500.0,60.0,0.0,4.0,0.0,2682630.0,1064534.0,0.0,9.0,1209600.0,10545960.0,14.0,1036800.0,3,0,2,0,1,10,0,5,0,1,4,0,3,2,4,0
672.0,164.0,204.0,255.0,2.0,112.0,325.68,0.0,1794378.0,4.60564,9.0,30.0,35.0,2689848.0,0.0,143249.4,15.0,6.0,48.0,56.0,151889.2,690.0,42.0,567.0,4.0,0.0,3598745.0,2016860.0,125.0,18.0,209944.0,10751240.0,34.0,1216752.0,3,0,2,0,1,10,0,5,0,1,4,0,3,2,4,0
658.0,352.0,124.0,155.0,0.0,0.0,220.08,0.0,0.0,2.008332,18.0,30.0,196.0,6220800.0,3.0,193735.2,0.0,0.0,32.0,72.0,155632.0,505.0,0.0,10980.0,6.0,8.0,9462600.0,0.0,160.0,0.0,0.0,10680480.0,44.0,0.0,3,0,2,0,1,10,0,5,0,1,4,0,3,2,4,0
