age,fnlwgt,educationNum,capitalGain,capitalLoss,hoursPerWeek,workclass,education,maritalStatus,occupation,relationship,race,sex,nativeCountry,label
55.0,124137.0,9.0,0.0,0.0,40.0,Private,HS-grad,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Male,Poland,0
35.0,226789.0,10.0,0.0,0.0,58.0,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,0
51.0,74784.0,13.0,0.0,0.0,60.0,Private,Bachelors,Divorced,Sales,Not-in-family,White,Female,United-States,0
88.0,206291.0,15.0,0.0,0.0,40.0,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,0
24.0,152724.0,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,Black,Male,United-States,0
56.0,436651.0,9.0,0.0,0.0,20.0,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,0
24.0,33088.0,7.0,0.0,0.0,40.0,Private,11th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,0
27.0,122540.0,10.0,0.0,0.0,40.0,State-gov,Some-college,Never-married,Craft-repair,Other-relative,White,Male,United-States,0
24.0,137589.0,9.0,0.0,0.0,30.0,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,United-States,0
31.0,122116.0,11.0,0.0,0.0,40.0,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
45.0,217654.0,10.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,Germany,1
24.0,102258.0,13.0,0.0,0.0,40.0,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,0
36.0,200352.0,13.0,0.0,0.0,45.0,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,0
25.0,169100.0,14.0,0.0,0.0,40.0,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,0
53.0,290882.0,4.0,0.0,0.0,40.0,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Mexico,0
36.0,108103.0,9.0,0.0,0.0,50.0,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,United-States,0
21.0,153209.0,10.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,0
46.0,106444.0,10.0,7688.0,0.0,38.0,State-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,1
39.0,172718.0,9.0,0.0,0.0,40.0,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,United-States,0
60.0,119575.0,9.0,0.0,0.0,50.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States,0
46.0,359193.0,10.0,0.0,0.0,45.0,Local-gov,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,United-States,0
36.0,265881.0,9.0,0.0,0.0,40.0,Private,HS-grad,Divorced,Machine-op-inspct,Unmarried,White,Female,United-States,0
47.0,31141.0,14.0,0.0,0.0,40.0,Private,Masters,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,1
