V1,V2,V5,V7,V8,V10,V11,V16,V17,V18,V20,V21,V22,V23,V24,V26,V27,V28,V29,V30,V32,V33,V35,V36,V41,V42,V43,V45,V46,V50,V52,V53,V54,V59,V60,V61,V62,V63,V65,V67,V70,V71,V72,V73,V74,V75,V76,V77,V78,V80,V82,V85,V86,V87,V88,V91,V94,V95,V3,V4,V6,V9,V12,V13,V14,V15,V19,V25,V31,V34,V37,V38,V39,V40,V44,V47,V48,V49,V51,V55,V56,V57,V58,V64,V66,V68,V69,V79,V81,V83,V84,V89,V90,V92,V93,V96,V97,V98,V99,V100,label
1.0,0.0,0.22,0.0,0.0,3.0,35483.0,0.36,893.0,37.2,41.0,84.1,0.927,216.0,3.0,1.0,320.0,1.0,0.922,835.0,0.635,592.0,4000.0,0.571,2.0,6146.0,3.0,7.27,0.0,0.0,2.0,6.96,1.0,48758.0,6007.0,49.1,0.0,29.6,1.0,20232.0,7.49,3.0,6814.0,0.27,3975.0,2.0,64.0,79.6,2.0,0.0,4.91,60.7,5.74,2.0,361.0,1.0,1.0,5186.0,v5,v1,v2,v1,v1,v2,v3,v2,v1,v4,v2,v4,v2,v3,v5,v1,v4,v3,v1,v3,v4,v4,v2,v1,v2,v1,v1,v5,v3,v2,v3,v2,v2,v5,v2,v1,v1,v2,v3,v3,v2,v5,0
1.0,2.0,0.24,0.0,3.0,3.0,35518.0,0.45,460.0,30.8,28.0,66.2,0.944,191.0,0.0,1.0,439.0,2.0,0.943,708.0,0.629,648.0,3975.0,0.177,3.0,6770.0,2.0,7.5,3.0,0.0,1.0,4.5,0.0,40706.0,5797.0,48.5,1.0,29.8,1.0,18459.0,5.57,0.0,6992.0,0.57,6810.0,0.0,83.0,82.7,5.0,0.0,4.17,44.9,6.35,2.0,411.0,1.0,0.0,5165.0,v1,v4,v1,v2,v3,v1,v4,v4,v1,v2,v1,v1,v5,v2,v4,v1,v4,v5,v2,v2,v5,v1,v3,v3,v1,v2,v1,v3,v3,v3,v3,v2,v2,v2,v3,v1,v2,v3,v1,v5,v1,v1,1
0.0,1.0,0.15,1.0,0.0,2.0,72199.0,0.54,819.0,33.3,46.0,66.3,0.888,205.0,2.0,1.0,453.0,0.0,0.91,791.0,0.633,648.0,5256.0,0.58,0.0,6401.0,4.0,7.86,3.0,1.0,1.0,6.96,1.0,53848.0,6742.0,41.1,0.0,31.1,2.0,16087.0,5.88,0.0,7361.0,0.6,2841.0,2.0,69.0,79.1,5.0,0.0,3.63,47.6,4.36,2.0,471.0,0.0,0.0,5517.0,v6,v1,v1,v4,v3,v1,v5,v4,v2,v2,v1,v1,v3,v1,v5,v1,v3,v6,v2,v6,v1,v4,v4,v1,v2,v4,v1,v4,v3,v4,v3,v3,v2,v2,v2,v1,v2,v2,v1,v4,v2,v4,0
0.0,1.0,0.44,1.0,0.0,1.0,80047.0,0.47,869.0,36.7,51.0,75.2,0.909,198.0,3.0,0.0,376.0,0.0,0.932,863.0,0.671,597.0,5251.0,0.138,3.0,6330.0,3.0,7.69,1.0,1.0,0.0,5.9,0.0,55403.0,5857.0,33.9,0.0,37.3,2.0,20188.0,6.63,2.0,6904.0,0.55,5797.0,0.0,77.0,79.4,3.0,1.0,6.35,51.2,7.9,2.0,439.0,1.0,1.0,5577.0,v6,v1,v3,v1,v1,v2,v4,v2,v1,v2,v2,v5,v3,v1,v5,v1,v3,v3,v3,v2,v5,v3,v5,v1,v1,v3,v2,v1,v4,v3,v1,v1,v2,v4,v3,v2,v2,v1,v1,v2,v2,v3,1
0.0,3.0,0.17,0.0,3.0,2.0,32685.0,0.38,594.0,27.8,53.0,75.7,0.808,278.0,3.0,1.0,290.0,4.0,0.938,829.0,0.587,595.0,5221.0,0.797,2.0,6943.0,2.0,7.74,0.0,2.0,0.0,6.06,1.0,53026.0,5946.0,48.0,0.0,47.1,2.0,17236.0,7.49,0.0,6851.0,0.68,4312.0,2.0,72.0,79.0,3.0,0.0,5.41,59.4,5.77,3.0,471.0,0.0,1.0,5508.0,v5,v3,v3,v4,v2,v2,v5,v2,v1,v2,v1,v6,v5,v4,v1,v1,v4,v4,v1,v6,v2,v5,v2,v1,v2,v4,v1,v3,v1,v2,v1,v3,v2,v1,v2,v1,v1,v2,v1,v2,v2,v1,1
0.0,0.0,0.33,0.0,0.0,1.0,40089.0,0.47,862.0,34.3,52.0,69.1,0.878,211.0,4.0,0.0,472.0,4.0,0.943,860.0,0.503,650.0,4063.0,0.855,2.0,6351.0,2.0,7.71,3.0,0.0,1.0,4.25,1.0,53676.0,5940.0,50.8,0.0,50.7,1.0,23462.0,5.57,0.0,6552.0,0.55,4707.0,0.0,88.0,82.7,4.0,1.0,3.6,47.0,6.25,3.0,602.0,1.0,1.0,5856.0,v4,v2,v2,v2,v2,v2,v3,v3,v2,v4,v1,v5,v2,v2,v5,v1,v1,v4,v2,v3,v4,v2,v1,v3,v2,v5,v1,v1,v2,v2,v1,v3,v1,v5,v1,v2,v1,v1,v3,v3,v1,v3,0
0.0,2.0,0.34,0.0,3.0,2.0,72161.0,0.48,624.0,37.2,27.0,84.8,0.84,191.0,1.0,0.0,424.0,0.0,0.941,546.0,0.637,602.0,6380.0,0.177,1.0,6349.0,1.0,7.75,2.0,0.0,2.0,4.93,1.0,43070.0,6408.0,45.0,1.0,30.0,1.0,23249.0,6.98,0.0,7007.0,0.15,2264.0,0.0,87.0,79.1,3.0,0.0,3.66,44.9,4.51,3.0,895.0,0.0,0.0,5698.0,v2,v2,v3,v4,v2,v2,v4,v1,v2,v4,v1,v6,v1,v3,v4,v1,v4,v5,v2,v3,v3,v1,v2,v1,v1,v4,v1,v5,v1,v3,v1,v3,v1,v5,v2,v1,v2,v5,v3,v4,v1,v2,1
1.0,2.0,0.31,1.0,3.0,0.0,31626.0,0.52,440.0,33.5,50.0,77.4,0.833,280.0,0.0,0.0,322.0,0.0,0.936,664.0,0.594,660.0,5393.0,0.698,3.0,6343.0,4.0,7.44,0.0,2.0,0.0,4.8,1.0,54540.0,5888.0,48.5,1.0,61.4,1.0,18485.0,7.07,0.0,6584.0,0.56,4878.0,0.0,79.0,79.1,0.0,0.0,6.48,44.4,7.98,3.0,412.0,1.0,0.0,5115.0,v6,v4,v1,v1,v1,v1,v3,v5,v2,v2,v2,v1,v4,v4,v1,v1,v4,v2,v2,v5,v3,v4,v1,v3,v2,v3,v2,v5,v1,v5,v3,v3,v2,v6,v3,v2,v2,v3,v1,v3,v1,v4,1
0.0,0.0,0.46,0.0,1.0,3.0,93386.0,0.28,879.0,36.7,55.0,78.1,0.923,275.0,0.0,0.0,443.0,1.0,0.919,707.0,0.581,604.0,5330.0,0.176,2.0,6393.0,2.0,7.47,0.0,2.0,2.0,6.82,1.0,64484.0,6528.0,51.5,1.0,41.8,0.0,21493.0,5.57,1.0,7324.0,0.44,4029.0,2.0,93.0,82.1,0.0,1.0,3.62,45.8,3.75,3.0,370.0,2.0,1.0,5563.0,v3,v3,v3,v4,v2,v1,v4,v4,v2,v4,v1,v2,v5,v3,v1,v1,v1,v3,v2,v5,v5,v2,v1,v1,v3,v2,v2,v3,v1,v1,v4,v3,v2,v4,v2,v2,v1,v4,v2,v1,v2,v1,1
1.0,2.0,0.29,0.0,2.0,3.0,35281.0,0.25,645.0,31.0,49.0,77.6,0.955,239.0,1.0,0.0,417.0,0.0,0.937,865.0,0.493,606.0,5725.0,0.567,3.0,6765.0,3.0,7.32,1.0,2.0,2.0,5.42,1.0,52943.0,6352.0,83.4,0.0,60.4,0.0,22297.0,6.56,0.0,7351.0,0.15,7177.0,1.0,69.0,79.5,1.0,1.0,6.18,61.4,7.53,1.0,473.0,2.0,0.0,5857.0,v6,v3,v3,v4,v3,v1,v3,v1,v1,v4,v1,v1,v5,v1,v2,v2,v4,v5,v2,v6,v1,v3,v4,v1,v3,v3,v1,v3,v3,v5,v2,v1,v1,v5,v2,v2,v1,v1,v2,v5,v1,v3,0
