Wifes_age,Number_of_children_ever_born,Wifes_education,Husbands_education,Wifes_religion,Wifes_now_working%3F,Husbands_occupation,Standard-of-living_index,Media_exposure,label
26,5,3,2,1,1,2,2,0,2
27,1,4,4,0,0,2,4,0,0
24,4,4,4,1,1,1,4,0,0
48,16,4,4,1,1,1,4,0,2
24,1,4,4,1,1,1,3,0,2
33,3,3,3,1,1,3,4,0,0
28,1,3,4,1,1,3,1,1,0
30,4,2,3,1,0,3,2,0,0
21,1,2,2,1,1,3,2,0,2
30,7,3,3,1,1,3,4,0,2
26,2,3,4,1,1,3,3,0,0
48,8,1,2,1,1,3,1,0,0
25,1,3,4,1,1,2,1,0,0
46,4,4,4,1,1,1,4,0,2
25,3,2,4,1,1,3,3,0,2
33,3,2,2,1,1,2,3,0,1
44,1,2,3,0,1,2,4,0,1
42,4,3,3,0,1,3,4,0,1
29,5,3,4,1,1,3,3,0,2
34,2,4,4,0,0,3,2,0,1
32,2,2,4,1,1,3,3,0,0
38,5,4,4,1,1,1,3,0,1
31,4,3,4,1,1,1,3,0,1
37,6,2,3,1,1,3,4,0,2
45,2,2,4,1,0,2,4,0,0
22,2,3,4,0,1,3,4,0,2
43,7,2,3,1,1,3,4,0,0
24,1,4,4,1,1,1,4,0,1
28,5,4,4,1,1,2,4,0,2
34,6,4,4,1,1,3,4,0,1
30,2,4,4,1,1,4,3,0,2
24,2,2,4,1,1,3,3,0,1
32,3,4,4,1,1,1,4,0,2
34,3,4,4,0,1,1,2,0,0
25,2,2,3,1,1,3,2,0,0
18,1,3,4,1,1,3,4,0,1
36,3,4,4,1,1,3,3,0,1
43,5,1,3,1,0,3,2,0,0
30,1,4,4,1,1,1,4,0,2
29,0,2,4,1,0,3,4,0,0
45,4,2,3,1,0,2,4,0,0
35,9,3,2,1,0,3,4,0,2
34,6,3,3,1,1,2,3,0,0
21,1,4,4,1,1,2,3,0,2
25,2,3,1,1,0,3,4,0,1
39,3,4,4,0,1,2,4,0,1
29,1,2,3,1,1,1,1,0,0
25,3,3,4,1,0,3,4,0,2
32,2,4,4,1,0,3,4,0,2
43,10,3,4,1,1,3,3,0,0
24,2,2,4,1,1,1,4,0,2
29,1,2,3,1,1,1,2,0,0
33,2,4,4,1,0,1,4,0,2
37,2,4,4,1,1,1,4,0,0
46,5,4,3,1,1,1,4,0,1
33,2,2,3,1,1,3,2,0,0
35,1,4,4,1,1,1,3,0,0
24,0,4,4,1,0,2,2,0,0
36,6,2,1,1,1,2,1,0,1
48,1,1,1,1,0,3,3,1,0
40,2,4,4,0,1,1,4,0,0
26,3,3,4,1,1,2,3,0,1
28,5,3,4,1,1,2,4,0,2
22,2,3,3,1,1,2,4,0,0
27,4,2,4,1,1,3,4,0,2
43,5,4,4,1,0,1,4,0,0
40,5,4,4,1,1,1,3,0,1
36,1,1,4,1,1,3,3,0,0
37,7,2,3,1,1,3,4,0,1
23,6,3,3,1,1,3,3,0,0
29,3,4,4,1,0,3,3,0,1
43,6,2,3,1,0,3,3,0,0
33,4,3,3,1,0,2,3,0,2
35,4,2,4,0,1,3,2,0,1
32,2,4,4,0,0,1,4,0,1
35,6,2,3,1,0,3,3,0,2
31,8,2,2,1,1,2,2,1,0
24,2,4,4,1,1,2,4,0,1
27,2,4,4,1,0,1,3,0,1
23,1,3,1,1,0,3,3,0,1
40,2,4,4,0,0,1,4,0,2
45,8,1,1,1,1,2,2,1,0
41,11,3,2,1,1,2,3,0,0
24,3,2,2,1,0,2,1,0,0
26,4,3,2,1,1,3,4,0,2
22,0,4,4,1,1,3,2,0,0
32,5,2,3,1,0,2,3,0,2
30,3,3,3,1,1,3,1,0,2
44,1,2,2,1,0,3,2,0,0
46,1,4,4,0,1,1,4,0,0
48,4,3,4,0,1,2,4,0,0
45,3,4,4,0,1,2,4,0,1
26,4,2,2,1,1,3,4,0,1
35,6,2,2,1,0,3,1,1,0
48,3,2,1,1,0,4,3,0,0
22,1,4,4,1,1,1,3,0,1
23,2,4,4,1,1,1,4,0,0
42,3,4,4,1,1,1,4,0,0
42,5,2,4,0,1,2,3,0,1
37,4,4,4,0,1,2,4,0,1
39,5,4,4,1,1,1,4,0,1
39,1,4,4,1,1,1,4,0,0
28,2,3,4,1,1,3,4,0,2
41,4,4,4,0,1,1,4,0,1
33,3,4,4,1,1,1,4,0,1
32,3,4,4,1,1,1,4,0,0
38,4,4,4,1,0,1,4,0,2
26,1,1,3,1,1,3,1,0,0
38,6,4,4,1,1,1,4,0,1
35,4,3,4,1,1,1,4,0,2
26,2,3,3,1,1,1,3,0,1
49,4,2,3,1,1,2,3,0,0
27,1,3,3,1,0,3,3,0,2
23,2,3,4,1,0,2,3,0,0
49,10,2,1,1,0,2,4,0,0
28,1,2,2,1,1,3,2,0,0
25,5,2,3,1,1,2,3,0,2
41,1,2,3,1,0,2,3,0,0
23,2,2,2,1,1,3,3,0,0
28,0,3,4,1,0,1,3,0,0
38,5,3,3,1,1,1,4,0,0
35,3,4,4,0,1,3,4,0,2
28,5,2,2,1,0,2,4,0,2
34,3,4,4,1,1,1,4,0,1
26,2,4,4,1,1,1,3,0,0
44,8,4,4,1,1,2,4,0,2
32,2,2,2,1,1,2,4,0,0
34,4,4,4,1,0,3,3,0,1
34,2,2,3,1,1,2,3,0,2
32,8,2,2,1,1,2,1,0,2
46,3,1,2,1,1,2,1,1,0
22,2,2,2,1,1,3,1,0,0
