N1,N2,N3,N4,N5,N6,N7,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,label
12,1291.0,4,2,35,2,1,3,1,6,2,0,0,2,1,1,1,1,0,1,1
12,1412.0,4,2,29,2,1,3,1,0,2,0,0,1,3,1,1,0,1,1,1
12,1655.0,2,4,63,2,1,3,1,6,2,3,3,2,3,1,1,3,1,1,1
15,1721.0,2,3,36,1,1,1,3,4,2,2,3,2,3,1,1,1,0,1,1
39,11760.0,2,3,32,1,1,0,2,2,0,1,3,2,2,1,2,1,1,1,1
18,1149.0,4,3,46,2,1,3,1,6,3,0,3,2,3,1,1,1,0,1,1
36,12612.0,1,4,47,1,2,0,3,2,0,0,3,2,2,1,0,1,1,1,0
10,1240.0,1,4,48,1,2,2,3,4,0,3,0,2,2,1,0,3,0,1,0
21,2923.0,1,1,28,1,1,2,3,4,0,0,0,2,0,0,1,0,1,1,1
24,1525.0,4,3,34,1,2,3,3,4,3,1,0,2,0,1,1,1,1,1,1
13,1797.0,3,1,28,2,1,1,1,0,2,2,3,2,1,0,1,3,0,1,1
24,3863.0,1,2,32,1,1,3,2,0,2,0,3,2,2,1,0,1,0,1,1
12,976.0,4,4,35,2,1,3,1,6,4,3,3,2,0,1,1,1,0,1,1
18,1950.0,4,1,34,2,1,3,3,0,2,1,3,2,0,2,1,1,1,1,1
24,6615.0,2,4,75,2,1,1,1,9,2,4,3,2,2,1,0,0,1,1,1
36,6887.0,4,3,29,1,1,1,2,2,2,0,3,2,1,2,1,1,1,1,0
18,3872.0,2,4,67,1,1,0,3,7,2,4,0,2,0,1,1,1,1,1,1
12,1007.0,4,1,22,1,1,0,3,4,3,0,2,2,3,1,1,1,0,1,1
24,3021.0,2,2,24,1,1,1,3,3,2,0,1,2,3,1,2,3,0,1,1
48,5951.0,2,2,22,1,1,0,3,6,2,0,0,2,3,1,1,1,0,1,0
12,1858.0,4,1,22,1,1,1,3,3,2,2,0,2,0,1,2,1,0,1,1
12,1413.0,3,2,55,1,1,3,3,9,3,1,3,2,1,1,1,1,0,0,1
42,3394.0,4,4,65,2,1,1,1,7,2,4,3,0,0,1,1,2,0,1,1
12,1881.0,2,2,44,1,1,2,3,6,2,0,0,2,0,1,2,3,1,1,1
10,1309.0,4,4,27,1,1,3,3,4,4,0,3,1,1,1,1,3,0,1,0
12,6199.0,4,2,28,2,1,1,4,6,2,0,3,2,1,1,2,1,1,1,0
18,1820.0,2,2,30,1,1,3,3,4,2,0,2,2,1,1,1,0,1,1,1
36,2712.0,2,2,41,1,2,1,3,3,2,3,3,2,1,0,1,1,0,1,0
42,7166.0,2,4,29,1,1,3,3,6,4,1,2,2,1,1,2,1,1,1,1
10,1521.0,4,2,31,1,1,0,3,3,2,0,1,2,0,1,1,3,0,1,1
24,3758.0,1,4,23,1,1,0,3,6,1,4,0,2,2,1,2,2,0,1,1
24,2424.0,4,4,53,2,1,3,1,6,4,3,3,2,1,1,1,1,0,1,1
12,2969.0,4,3,25,2,1,0,4,3,2,2,0,2,1,1,2,1,0,1,0
12,2577.0,2,1,42,1,1,1,3,3,2,0,1,2,0,1,1,1,0,1,1
12,1410.0,2,2,31,1,1,0,4,8,2,0,3,2,3,1,1,3,1,1,1
12,1503.0,4,4,41,1,1,3,2,9,2,0,2,2,3,1,2,1,0,1,1
24,1987.0,2,4,21,1,2,1,3,6,2,0,3,2,3,1,2,3,0,1,0
36,7409.0,3,2,37,2,1,3,3,0,4,3,3,2,1,1,1,1,0,1,1
60,6288.0,4,4,42,1,1,0,3,2,2,0,3,2,2,1,0,1,0,1,0
42,4042.0,4,4,36,2,1,3,1,3,1,0,3,2,3,1,1,1,1,1,1
40,5998.0,4,3,27,1,1,1,1,2,2,0,3,2,2,0,1,1,1,1,0
6,1750.0,2,4,45,1,2,3,0,6,1,3,3,2,1,0,1,3,0,1,1
15,1512.0,3,3,61,2,1,0,2,7,3,0,2,2,1,2,1,1,0,1,0
36,9271.0,2,1,24,1,1,1,3,4,2,1,3,2,0,1,1,1,1,1,0
24,2223.0,4,4,52,2,1,3,1,6,0,3,3,2,1,0,1,1,0,1,1
18,2600.0,4,4,65,2,1,1,3,6,2,0,3,2,2,1,0,1,0,1,0
12,1123.0,4,4,29,1,1,3,3,3,1,0,0,2,0,1,2,3,0,1,0
12,626.0,4,4,24,1,1,1,0,6,2,0,0,2,3,0,1,3,0,1,0
24,1967.0,4,4,20,1,1,0,3,6,2,3,0,2,0,1,1,1,1,1,1
36,7432.0,2,2,54,1,1,0,2,4,2,0,0,2,1,1,2,1,0,1,1
48,5096.0,2,3,30,1,1,0,1,3,2,0,0,2,0,1,1,0,1,1,0
