N1,N2,N3,N4,N5,N6,N7,label
60,60,0,1,0,1,0,1
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
5682,1565,4117,23,66,13,10,0
1556,769,787,17,134,9,8,0
62,62,0,1,0,1,0,1
60,60,0,1,0,1,0,1
883,126,757,2,30,1,1,0
70,70,0,1,5,1,0,0
1622,1137,485,11,26,7,4,0
66,66,0,1,0,1,0,2
289,134,155,2,30,1,1,0
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,1
184,94,90,2,29,1,1,0
14705,6415,8290,26,149,12,14,0
66,66,0,1,0,1,0,1
618,432,186,9,17,6,3,0
62,62,0,1,0,1,0,1
62,62,0,1,0,1,0,1
66,66,0,1,0,1,0,2
196,102,94,2,30,1,1,0
70,70,0,1,0,1,0,2
101952,6925,95027,143,333,72,71,0
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,1
1286,782,504,12,361,7,5,0
168,78,90,2,29,1,1,0
70,70,0,1,0,1,0,2
2933,1237,1696,12,20,7,5,0
177,94,83,2,30,1,1,0
816,102,714,2,30,1,1,0
66,66,0,1,0,1,0,1
94,94,0,1,30,1,0,0
211,110,101,2,30,1,1,0
70,70,0,1,4,1,0,0
156378,5406,150972,165,383,60,105,0
767,102,665,2,29,1,1,0
361,118,243,4,33,2,2,0
70,70,0,1,0,1,0,2
4900,904,3996,16,97,9,7,0
5715,1432,4283,19,15,9,10,0
4962,2551,2411,19,144,10,9,0
5415,1730,3685,20,120,9,11,0
60,60,0,1,0,1,0,1
74784,4781,70003,122,171,55,67,0
260,102,158,2,30,1,1,0
1904818,59945,1844873,1747,162,498,1249,0
66,66,0,1,0,1,0,1
195,102,93,2,31,1,1,0
66,66,0,1,0,1,0,2
62,62,0,1,0,1,0,1
70,70,0,2,7,2,0,0
70,70,0,1,0,1,0,2
2125,1041,1084,11,87,6,5,0
15234,2503,12731,45,135,20,25,0
62,62,0,1,0,1,0,1
22513,15188,7325,69,517,31,38,0
62,62,0,1,0,1,0,1
289,102,187,2,30,1,1,0
70,70,0,1,0,1,0,2
182,93,89,2,31,1,1,0
229,90,139,2,30,1,1,0
136,136,0,3,14,3,0,0
70,70,0,1,5,1,0,0
19693,1957,17736,49,32,23,26,0
17128,1499,15629,24,25,9,15,0
4654,2499,2155,17,31,9,8,0
669,669,0,1,0,1,0,1
70,70,0,1,0,1,0,2
6378,1571,4807,23,315,12,11,0
70,70,0,1,0,1,0,2
129,129,0,1,0,1,0,1
70,70,0,1,0,1,0,2
48320,1685,46635,57,126,22,35,0
70,70,0,1,0,1,0,2
62,62,0,1,0,1,0,1
138065,109491,28574,429,186,230,199,0
2403265,93626,2309639,2795,243,1103,1692,0
70,70,0,1,0,1,0,2
60978,3794,57184,73,137,26,47,0
220,78,142,2,30,1,1,0
1056,682,374,10,15,6,4,0
70,70,0,1,0,1,0,2
216,98,118,2,30,1,1,0
21625,7638,13987,45,48,24,21,0
1466,856,610,13,27,6,7,0
3558,2453,1105,17,15,9,8,0
60,60,0,1,0,1,0,1
378,192,186,7,41,4,3,0
8628,2898,5730,20,144,9,11,0
3155111,84086,3071025,3163,75,1072,2091,0
66,66,0,1,0,1,0,1
10454,4931,5523,21,30,10,11,0
1346,918,428,10,31,6,4,0
66,66,0,1,5,1,0,0
195,102,93,2,30,1,1,0
276,118,158,2,30,1,1,0
194,87,107,2,30,1,1,0
70,70,0,1,0,1,0,2
4043,1781,2262,19,128,11,8,0
5157,917,4240,20,360,10,10,0
66,66,0,1,0,1,0,1
193,102,91,2,30,1,1,0
66,66,0,2,8,2,0,0
135,135,0,1,0,1,0,1
194,102,92,2,30,1,1,0
62,62,0,1,0,1,0,1
199,102,97,2,31,1,1,0
70,70,0,1,4,1,0,0
195,102,93,2,30,1,1,0
2356,1309,1047,16,31,9,7,0
211,102,109,2,30,1,1,0
3063,1813,1250,18,16,8,10,0
742,88,654,2,30,1,1,0
33489,2768,30721,44,121,17,27,0
210,110,100,2,31,1,1,0
825,99,726,2,30,1,1,0
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,2
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
62,62,0,1,0,1,0,1
761,100,661,2,31,1,1,0
29241,2457,26784,48,171,24,24,0
143,143,0,1,0,1,0,1
6397,2103,4294,17,26,9,8,0
66,66,0,1,0,1,0,2
70,70,0,1,5,1,0,0
66,66,0,1,0,1,0,1
1638,1324,314,10,15,5,5,0
234,93,141,2,30,1,1,0
66,66,0,1,0,1,0,1
66,66,0,1,0,1,0,2
146,146,0,1,0,1,0,1
62,62,0,1,0,1,0,1
97,97,0,1,0,1,0,1
890,126,764,2,31,1,1,0
183,94,89,2,29,1,1,0
873,126,747,3,31,2,1,0
70,70,0,2,7,2,0,0
70,70,0,1,0,1,0,2
62,62,0,1,0,1,0,1
70,70,0,1,0,1,0,2
234,78,156,2,30,1,1,0
66,66,0,1,0,1,0,2
6345,3495,2850,18,120,9,9,0
66,66,0,1,0,1,0,2
136,136,0,3,14,3,0,0
2001,1107,894,13,150,7,6,0
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
66,66,0,1,0,1,0,1
168,86,82,2,30,1,1,0
70,70,0,1,0,1,0,2
77821,4380,73441,82,53,23,59,0
6883,1378,5505,19,131,9,10,0
222,78,144,2,30,1,1,0
4344,2189,2155,15,126,7,8,0
602278,26008,576270,748,396,317,431,0
698,320,378,10,16,6,4,0
8208,2080,6128,24,81,14,10,0
8415,883,7532,23,54,8,15,0
70,70,0,1,0,1,0,2
255,71,184,2,31,1,1,0
66,66,0,1,0,1,0,1
62,62,0,1,0,1,0,1
70,70,0,1,0,1,0,2
167,86,81,2,30,1,1,0
353,98,255,4,32,2,2,0
66,66,0,1,0,1,0,1
150,150,0,1,5,1,0,0
70,70,0,1,0,1,0,2
288,93,195,4,32,2,2,0
3424,1710,1714,16,32,8,8,0
66,66,0,1,0,1,0,1
66,66,0,1,0,1,0,2
11116,4583,6533,39,256,19,20,0
60,60,0,1,0,1,0,1
1912,1213,699,19,169,11,8,0
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
62,62,0,1,0,1,0,1
195,102,93,2,29,1,1,0
2140,1030,1110,22,149,8,14,0
66,66,0,1,0,1,0,1
130,70,60,3,5,2,1,0
66,66,0,1,0,1,0,1
198,101,97,2,31,1,1,0
70,70,0,1,0,1,0,2
224,88,136,2,30,1,1,0
70,70,0,1,0,1,0,2
3155,836,2319,13,135,6,7,0
70,70,0,1,0,1,0,2
480,149,331,2,1200,1,1,0
66,66,0,1,0,1,0,2
295,103,192,4,48,2,2,0
847,110,737,2,30,1,1,0
199,94,105,2,30,1,1,0
1596,511,1085,10,15,5,5,0
320,320,0,1,0,1,0,1
39679,7315,32364,45,24,17,28,0
231,88,143,2,33,1,1,0
66,66,0,1,0,1,0,2
66,66,0,1,0,1,0,2
384,166,218,2,29,1,1,0
70,70,0,1,0,1,0,2
70,70,0,1,0,1,0,2
60,60,0,1,0,1,0,1
70,70,0,1,0,1,0,2
948720,23674,925046,988,26,349,639,0
66,66,0,1,0,1,0,2
70,70,0,1,0,1,0,2
736,490,246,8,17,4,4,0
70,70,0,1,30,1,0,0
66,66,0,1,0,1,0,1
321,102,219,2,30,1,1,0
66,66,0,1,0,1,0,1
156,66,90,2,5,1,1,0
62,62,0,1,0,1,0,1
832,106,726,2,29,1,1,0
146,146,0,1,0,1,0,1
70,70,0,1,4,1,0,0
130,70,60,3,5,2,1,0
