Age,Community_Building,Community_Membership_Family,Community_Membership_Hobbies,Community_Membership_None,Community_Membership_Other,Community_Membership_Political,Community_Membership_Professional,Community_Membership_Religious,Community_Membership_Support,Country,Disability_Cognitive,Disability_Hearing,Disability_Motor,Disability_Not_Impaired,Disability_Not_Say,Disability_Vision,Education_Attainment,Falsification_of_Information,Gender,Household_Income,How_You_Heard_About_Survey_Banner,How_You_Heard_About_Survey_Friend,How_You_Heard_About_Survey_Mailing_List,How_You_Heard_About_Survey_Others,How_You_Heard_About_Survey_Printed_Media,How_You_Heard_About_Survey_Remebered,How_You_Heard_About_Survey_Search_Engine,How_You_Heard_About_Survey_Usenet_News,How_You_Heard_About_Survey_WWW_Page,Major_Geographical_Location,Major_Occupation,Marital_Status,Most_Import_Issue_Facing_the_Internet,Opinions_on_Censorship,Primary_Computing_Platform,Primary_Language,Primary_Place_of_WWW_Access,Race,Not_Purchasing_Bad_experience,Not_Purchasing_Bad_press,Not_Purchasing_Cant_find,Not_Purchasing_Company_policy,Not_Purchasing_Easier_locally,Not_Purchasing_Enough_info,Not_Purchasing_Judge_quality,Not_Purchasing_Never_tried,Not_Purchasing_No_credit,Not_Purchasing_Not_applicable,Not_Purchasing_Not_option,Not_Purchasing_Other,Not_Purchasing_Prefer_people,Not_Purchasing_Privacy,Not_Purchasing_Receipt,Not_Purchasing_Security,Not_Purchasing_Too_complicated,Not_Purchasing_Uncomfortable,Not_Purchasing_Unfamiliar_vendor,Registered_to_Vote,Sexual_Preference,Web_Ordering,Web_Page_Creation,Who_Pays_for_Access_Dont_Know,Who_Pays_for_Access_Other,Who_Pays_for_Access_Parents,Who_Pays_for_Access_School,Who_Pays_for_Access_Self,Who_Pays_for_Access_Work,Willingness_to_Pay_Fees,Years_on_Internet,label
18,Dont_Know,0,0,1,0,0,0,0,0,Georgia,0,0,0,1,0,0,Some_College,Under_25,Female,Under_$10,0,0,0,0,0,0,0,0,1,USA,Education,Single,Censorship,1,Win95,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No,Heterosexual,Yes,No,0,1,0,0,0,0,Already_paying,6-12_mo,13
19,More,1,1,0,0,0,0,1,1,Connecticut,0,0,0,1,0,0,Some_College,Under_25,Female,Not_Say,0,0,0,0,0,0,0,0,1,USA,Education,Single,Privacy,2,Win95,English,School,White,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,Yes,Heterosexual,No,Yes,0,0,0,1,0,0,Other_sources,1-3_yr,13
22,Equally,0,1,0,1,1,0,0,0,Alberta,0,0,0,1,0,0,Some_College,Never,Male,$40-49,0,0,0,0,0,0,0,0,1,Canada,Computer,Single,Other,2,Macintosh,English,Home,White,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0,Payment_mechanism,6-12_mo,34
22,Equally,0,1,0,0,0,0,0,1,United_Kingdom,0,0,0,1,0,0,Special,Never,Male,Under_$10,0,0,0,0,0,0,0,0,1,Europe,Education,Single,Dont_Know,2,Windows,English,School,White,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,No,No,0,0,0,1,0,0,Already_paying,1-3_yr,13
45,More,0,1,0,1,0,1,0,0,Washington,0,0,0,1,0,0,Some_College,26-50,Female,$75-99,0,0,0,0,0,0,0,0,1,USA,Computer,Divorced,Taxes,1,Win95,English,Primarily_work,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,1,Other_sources,Over_7_yr,34
48,More,1,1,0,0,0,0,0,1,Georgia,0,0,0,1,0,0,Some_College,Never,Female,Not_Say,0,0,0,0,0,0,0,0,1,USA,Other,Married,Privacy,4,Win95,English,Primarily_home,White,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Cost_too_high,1-3_yr,34
37,Dont_Know,0,0,0,0,0,0,0,1,Washington,0,0,0,1,0,0,High_School,Never,Female,$10-19,0,0,0,0,0,0,0,0,1,USA,Other,Other,Taxes,3,,English,Home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,No,Yes,0,0,0,0,1,0,Already_paying,6-12_mo,42
46,Equally,0,0,0,0,0,1,0,0,Georgia,0,0,0,1,0,0,Masters,Never,Male,$50-74,0,0,0,1,0,0,0,0,0,USA,Management,Single,Other,1,Macintosh,English,Primarily_work,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,1,Other_sources,4-6_yr,27
19,More,1,1,0,0,0,0,0,0,California,0,0,0,1,0,0,Some_College,Under_25,Female,Under_$10,0,0,0,0,0,0,0,0,1,USA,Education,Single,Navigation,1,OS2,English,Primarily_home,White,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,1,0,1,Other_sources,Over_7_yr,13
Not_Say,Dont_Know,0,0,1,0,0,0,0,0,Florida,0,0,0,0,0,1,Some_College,NA,Female,Not_Say,1,0,0,0,0,0,0,0,0,USA,Management,Not_Say,Navigation,4,,English,Home,White,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0,Poor_quality,Under_6_mo,27
45,More,0,1,0,1,0,0,0,1,Virginia,0,1,0,0,0,0,College,Under_25,Female,$20-29,0,0,0,0,0,0,0,0,1,USA,Professional,Single,Privacy,1,,English,Home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Other_sources,1-3_yr,19
20,More,0,0,0,1,0,0,1,1,Ontario,1,0,0,0,0,0,Some_College,Under_25,Female,Under_$10,0,0,0,0,0,0,0,0,1,Canada,Education,Other,Navigation,1,Win95,English,Primarily_home,White,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,Yes,Not_say,Yes,No,1,0,1,1,1,0,Already_paying,1-3_yr,13
39,Equally,0,0,1,0,0,0,0,0,Pennsylvania,0,0,0,1,0,0,College,Never,Female,Over_$100,0,1,0,0,0,0,0,0,0,USA,Professional,Married,Dont_Know,2,Macintosh,English,Primarily_work,White,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Other_sources,4-6_yr,28
45,Dont_Know,0,0,1,0,0,0,0,0,New_Mexico,0,0,0,1,0,0,Masters,Under_25,Male,$75-99,0,0,0,0,0,0,1,0,1,USA,Management,Married,Privacy,4,NT,English,Primarily_home,White,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Payment_mechanism,1-3_yr,27
40,Dont_Know,0,0,1,0,0,0,0,0,Maryland,0,0,0,1,0,0,College,51-75,Female,$75-99,1,0,0,0,0,0,0,0,0,USA,Computer,Married,Privacy,2,Win95,English,Primarily_work,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Already_paying,1-3_yr,37
28,Dont_Know,0,0,0,0,0,0,1,0,Ontario,0,0,0,1,0,0,Masters,Under_25,Male,Not_Say,0,0,0,0,0,0,0,0,1,Canada,Education,Married,Privacy,1,DOS,English,Home,Asian,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,Yes,Heterosexual,No,No,0,0,0,1,0,0,Other_sources,1-3_yr,13
43,Dont_Know,0,0,0,1,0,0,0,0,Indiana,0,0,0,1,0,0,College,Never,Female,$30-39,0,0,0,0,1,0,0,0,0,USA,Computer,Married,Dont_Know,4,Macintosh,English,Home,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Other_sources,4-6_yr,34
41,Dont_Know,0,0,1,0,0,0,0,0,Pennsylvania,0,0,0,1,0,0,Some_College,Never,Male,$10-19,0,0,0,0,0,0,0,1,0,USA,Computer,Other,Privacy,1,Win95,English,Home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Gay_male,Yes,Yes,0,0,0,0,1,0,Other_sources,1-3_yr,34
28,More,1,1,0,0,0,1,0,1,New_York,0,0,0,1,0,0,College,Under_25,Female,$75-99,0,0,0,0,0,0,1,0,0,USA,Professional,Married,Taxes,2,Win95,English,Home,White,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Already_paying,1-3_yr,0
33,More,0,1,0,0,0,1,0,0,Wisconsin,0,0,0,1,0,0,Masters,Never,Male,$40-49,0,0,0,0,0,0,0,0,1,USA,Computer,Married,Censorship,1,NT,English,Work,White,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,Yes,Heterosexual,Yes,No,0,0,0,0,0,1,Other_sources,1-3_yr,37
58,More,1,1,0,0,0,0,0,1,Pennsylvania,0,0,1,0,0,0,Masters,Never,Female,$30-39,0,0,0,0,0,0,0,0,1,USA,Other,Widowed,Privacy,1,,English,Home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Cost_too_high,6-12_mo,39
27,Dont_Know,1,0,0,0,0,0,0,0,Pennsylvania,0,0,0,1,0,0,High_School,Under_25,Female,$10-19,1,0,0,0,0,0,0,0,1,USA,Other,Single,Navigation,4,,English,Home,White,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,No,Transgender,No,No,0,0,0,0,1,0,Already_paying,Under_6_mo,34
62,More,0,0,0,0,0,0,1,0,Florida,0,0,0,1,0,0,Masters,Never,Male,$10-19,1,0,0,0,0,0,0,0,0,USA,Professional,Single,Encryption,3,,English,Home,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Yes,Gay_male,No,No,0,0,0,0,1,0,Other_sources,Under_6_mo,6
18,More,1,1,0,0,0,0,0,0,Michigan,0,0,0,1,0,0,High_School,Under_25,Male,Under_$10,0,0,0,0,0,0,1,0,0,USA,Other,Single,Censorship,2,Win95,English,Primarily_home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Not_Say,Heterosexual,Yes,Yes,0,0,1,1,1,0,Other_sources,1-3_yr,34
20,Less,0,0,0,1,0,0,0,0,Arizona,0,0,0,1,0,0,Some_College,NA,Female,$10-19,0,0,0,0,0,0,1,0,0,USA,Education,Other,Censorship,4,Windows,English,Primarily_home,Black,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,Yes,Heterosexual,No,No,0,0,1,0,0,0,Other_sources,1-3_yr,13
48,Dont_Know,0,0,1,0,0,0,0,0,Rhode_Island,0,0,0,1,0,0,Some_College,Never,Male,Not_Say,0,0,0,0,0,0,0,0,1,USA,Other,Married,Encryption,1,Win95,English,Primarily_home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0,Already_paying,1-3_yr,34
