value,rent,ftotinc,momloc,famsize,nchild,eldch,yngch,nsibs,age,occscore,sei,inctot,incwage,incbus,incfarm,incss,incwelfr,incother,poverty,label
999999.0,0.0,999999.0,0.0,1.0,0.0,99.0,99.0,0.0,19.0,11.0,18.0,1950.0,1950.0,0.0,0.0,0.0,0.0,0.0,0.0,1
22500.0,0.0,13150.0,0.0,2.0,0.0,99.0,99.0,0.0,56.0,25.0,18.0,13050.0,13050.0,0.0,0.0,0.0,0.0,0.0,501.0,1
30000.0,0.0,14550.0,2.0,6.0,0.0,99.0,99.0,3.0,11.0,0.0,0.0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,297.0,0
18750.0,0.0,8850.0,0.0,6.0,4.0,13.0,4.0,0.0,34.0,22.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0
30000.0,0.0,15850.0,2.0,7.0,0.0,99.0,99.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0,0
16250.0,0.0,4850.0,0.0,1.0,0.0,99.0,99.0,0.0,50.0,22.0,61.0,4850.0,4850.0,0.0,0.0,0.0,0.0,0.0,254.0,1
30000.0,0.0,29750.0,3.0,5.0,0.0,99.0,99.0,0.0,6.0,0.0,0.0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,501.0,0
999999.0,145.0,10750.0,0.0,3.0,1.0,13.0,13.0,0.0,40.0,25.0,44.0,1050.0,1050.0,0.0,0.0,0.0,0.0,0.0,364.0,1
999999.0,70.0,7750.0,0.0,1.0,0.0,99.0,99.0,0.0,57.0,22.0,61.0,7750.0,7750.0,0.0,0.0,0.0,0.0,0.0,406.0,1
13750.0,0.0,9050.0,0.0,4.0,2.0,11.0,9.0,0.0,31.0,36.0,66.0,9050.0,9050.0,0.0,0.0,0.0,0.0,0.0,243.0,1
999999.0,145.0,8450.0,0.0,1.0,0.0,99.0,99.0,0.0,24.0,30.0,65.0,6450.0,6450.0,0.0,0.0,0.0,0.0,0.0,338.0,0
999999.0,65.0,8750.0,0.0,1.0,0.0,99.0,99.0,0.0,51.0,22.0,18.0,8750.0,8650.0,0.0,0.0,0.0,0.0,50.0,458.0,1
50000.0,0.0,10350.0,0.0,2.0,0.0,99.0,99.0,0.0,71.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,750.0,467.0,0
999999.0,125.0,7750.0,1.0,6.0,0.0,99.0,99.0,4.0,21.0,22.0,18.0,950.0,950.0,0.0,0.0,0.0,0.0,0.0,153.0,0
16250.0,0.0,6650.0,2.0,8.0,0.0,99.0,99.0,5.0,11.0,0.0,0.0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,110.0,0
18750.0,0.0,17450.0,2.0,4.0,0.0,99.0,99.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.0,0
