age,income96,height,weight,famsize,illegalact,charged,jobsnum90,afqt89,race,gender,grade90,partner,genhealth,typejob90,jobtrain90,label
18.0,1.7,505.0,120.0,6.0,0.0,0.0,3.0,10.0,BLACK,Female,12TH GRADE,Yes,Very Good,pro,No,0
22.0,3.2,508.0,155.0,5.0,1.0,0.0,4.0,50.0,IRISH,Male,12TH GRADE,No,Good,wholesale,No,1
19.0,0.6113,511.0,120.0,3.0,0.0,0.0,1.0,66.0,GERMAN,Male,12TH GRADE,No,Excellent,retail,No,0
17.0,2.7346,511.0,150.0,4.0,0.0,0.0,10.0,78.0,ENGLISH,Male,4TH YR COL,No,Very Good,manuf,No,1
19.0,1.1,508.0,160.0,3.0,2.0,1.0,3.0,23.0,MEXICAN-AMERICAN,Male,10TH GRADE,No,Excellent,manuf,No,0
16.0,1.1,502.0,111.0,5.0,0.0,0.0,7.0,19.0,BLACK,Female,12TH GRADE,No,Very Good,manuf,No,0
21.0,2.6323,508.0,143.0,5.0,0.0,0.0,4.0,22.0,BLACK,Female,2ND YR COL,No,Good,pro,No,1
14.0,2.9,506.0,150.0,4.0,0.0,0.0,4.0,11.0,MEXICAN,Female,1ST YR COL,No,Good,retail,No,1
16.0,1.5,505.0,137.0,4.0,0.0,0.0,14.0,13.0,AMERICAN,Female,12TH GRADE,No,Excellent,retail,No,0
16.0,2.4,506.0,160.0,8.0,0.0,0.0,10.0,68.0,BLACK,Female,4TH YR COL,No,Fair,retail,No,1
16.0,5.0,502.0,117.0,6.0,0.0,0.0,6.0,77.0,PUERTORICAN,Female,4TH YR COL,No,Excellent,retail,No,1
17.0,2.8,600.0,166.0,3.0,0.0,0.0,10.0,32.0,IRISH,Female,3RD YR COL,No,Good,pro,No,1
19.0,2.0,507.0,137.0,5.0,0.0,0.0,4.0,45.0,GERMAN,Female,4TH YR COL,No,Good,fin,Yes,1
15.0,2.6,504.0,120.0,3.0,3.0,0.0,8.0,26.0,BLACK,Female,12TH GRADE,No,Very Good,transp,No,1
15.0,3.65,505.0,115.0,5.0,0.0,0.0,3.0,86.0,GERMAN,Female,1ST YR COL,No,Very Good,retail,No,1
15.0,2.4,511.0,220.0,3.0,0.0,0.0,7.0,18.0,ENGLISH,Male,12TH GRADE,No,Very Good,pub,Yes,1
21.0,2.1,504.0,174.0,7.0,0.0,0.0,2.0,11.0,BLACK,Female,1ST YR COL,No,Fair,construction,No,1
16.0,7.5,506.0,135.0,2.0,0.0,0.0,11.0,82.0,GERMAN,Male,2ND YR COL,No,Good,busi,No,1
17.0,1.155,502.0,158.0,9.0,0.0,1.0,7.0,3.0,BLACK,Female,12TH GRADE,No,Very Good,busi,Yes,0
18.0,1.9,501.0,135.0,6.0,0.0,0.0,9.0,32.0,FRENCH,Female,12TH GRADE,Yes,Very Good,retail,No,1
19.0,1.8,504.0,120.0,9.0,0.0,0.0,3.0,32.0,FRENCH,Female,12TH GRADE,No,Excellent,fin,No,1
17.0,2.78,504.0,160.0,4.0,1.0,0.0,7.0,37.0,IRISH,Female,5TH YR COL,No,Very Good,pub,No,1
15.0,0.0,505.0,150.0,7.0,0.0,0.0,10.0,9.0,BLACK,Male,12TH GRADE,No,Good,transp,No,0
17.0,1.5,506.0,195.0,2.0,0.0,0.0,5.0,8.0,AMERICAN,Female,10TH GRADE,No,Very Good,manuf,No,0
18.0,3.5,503.0,105.0,4.0,0.0,0.0,5.0,76.0,IRISH,Female,1ST YR COL,No,Very Good,pro,No,1
20.0,13.8775,509.0,163.0,7.0,0.0,0.0,7.0,89.0,OTHER-HISPANIC,Male,4TH YR COL,No,Very Good,retail,No,1
21.0,1.8223,503.0,143.0,1.0,0.0,0.0,13.0,45.0,FRENCH,Female,1ST YR COL,No,Good,fin,Yes,1
15.0,4.0,502.0,112.0,5.0,2.0,0.0,8.0,92.0,ENGLISH,Female,4TH YR COL,No,Very Good,pub,No,1
21.0,3.3,505.0,115.0,4.0,1.0,0.0,10.0,99.0,IRISH,Female,6TH YR COL,No,Excellent,pro,No,1
14.0,2.64,501.0,98.0,13.0,0.0,0.0,9.0,35.0,BLACK,Female,12TH GRADE,No,Excellent,pro,No,1
16.0,1.8,502.0,113.0,8.0,0.0,0.0,10.0,44.0,MEXICAN-AMERICAN,Female,12TH GRADE,No,Very Good,retail,No,1
