V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,label
0.0,0.005859,0.072266,0.076172,0.007812,0.0,0.0,0.0,0.005859,0.003906,0.005859,0.009766,0.019531,0.013672,0.001953,0.0,0.007812,0.033203,0.03125,0.007812,0.019531,0.0,0.0,0.0,0.013672,0.005859,0.001953,0.017578,0.058594,0.005859,0.001953,0.0,0.005859,0.0,0.0,0.003906,0.033203,0.078125,0.011719,0.0,0.001953,0.042969,0.042969,0.011719,0.054688,0.0,0.044922,0.005859,0.005859,0.0,0.001953,0.0,0.021484,0.005859,0.0,0.001953,0.001953,0.048828,0.10938,0.011719,0.0,0.0,0.023438,0.001953,83
0.0,0.005859,0.007812,0.001953,0.013672,0.005859,0.015625,0.0,0.0,0.001953,0.001953,0.029297,0.013672,0.011719,0.033203,0.0,0.001953,0.003906,0.0,0.003906,0.052734,0.048828,0.0,0.060547,0.019531,0.013672,0.033203,0.005859,0.005859,0.013672,0.019531,0.005859,0.0,0.003906,0.0,0.001953,0.001953,0.025391,0.021484,0.021484,0.003906,0.0,0.10742,0.013672,0.0,0.027344,0.021484,0.125,0.007812,0.035156,0.003906,0.007812,0.019531,0.007812,0.035156,0.027344,0.005859,0.0,0.0,0.0,0.0,0.03125,0.005859,0.005859,33
0.0,0.0,0.03125,0.025391,0.019531,0.003906,0.001953,0.005859,0.076172,0.0,0.0,0.005859,0.009766,0.03125,0.003906,0.0,0.001953,0.005859,0.009766,0.001953,0.019531,0.021484,0.0,0.023438,0.039062,0.005859,0.064453,0.023438,0.001953,0.017578,0.023438,0.054688,0.0,0.0,0.001953,0.0,0.011719,0.025391,0.003906,0.015625,0.015625,0.001953,0.001953,0.009766,0.005859,0.021484,0.035156,0.001953,0.0625,0.019531,0.0,0.039062,0.001953,0.027344,0.001953,0.007812,0.0,0.0,0.023438,0.009766,0.007812,0.039062,0.013672,0.064453,34
0.015625,0.025391,0.046875,0.009766,0.005859,0.027344,0.042969,0.0,0.0,0.027344,0.015625,0.009766,0.044922,0.0,0.029297,0.0,0.033203,0.017578,0.015625,0.013672,0.025391,0.003906,0.0,0.007812,0.0,0.017578,0.001953,0.015625,0.009766,0.027344,0.009766,0.001953,0.013672,0.003906,0.003906,0.009766,0.019531,0.03125,0.021484,0.005859,0.0,0.011719,0.025391,0.017578,0.009766,0.017578,0.03125,0.050781,0.0,0.021484,0.039062,0.0,0.021484,0.001953,0.050781,0.0,0.013672,0.011719,0.029297,0.003906,0.0,0.003906,0.023438,0.003906,41
0.0,0.0,0.035156,0.052734,0.083984,0.0,0.001953,0.0,0.015625,0.005859,0.0,0.011719,0.0,0.0,0.044922,0.0,0.005859,0.0,0.017578,0.005859,0.0,0.0,0.0,0.0,0.001953,0.025391,0.001953,0.070312,0.003906,0.048828,0.021484,0.003906,0.009766,0.0,0.0,0.005859,0.007812,0.050781,0.050781,0.033203,0.056641,0.013672,0.0,0.048828,0.007812,0.070312,0.013672,0.003906,0.003906,0.0,0.0,0.0,0.054688,0.0625,0.005859,0.0,0.007812,0.001953,0.007812,0.019531,0.0,0.0,0.003906,0.0,92
0.015625,0.03125,0.048828,0.009766,0.007812,0.029297,0.011719,0.0,0.003906,0.013672,0.035156,0.011719,0.03125,0.001953,0.019531,0.0,0.007812,0.023438,0.017578,0.011719,0.058594,0.001953,0.0,0.0,0.0,0.021484,0.0,0.003906,0.035156,0.011719,0.0,0.0,0.009766,0.003906,0.005859,0.017578,0.017578,0.039062,0.019531,0.005859,0.0,0.019531,0.019531,0.013672,0.042969,0.009766,0.052734,0.080078,0.0,0.001953,0.021484,0.0,0.017578,0.0,0.029297,0.0,0.005859,0.015625,0.033203,0.013672,0.0,0.0,0.039062,0.0,50
0.003906,0.001953,0.058594,0.048828,0.005859,0.017578,0.0,0.0,0.048828,0.0,0.005859,0.003906,0.035156,0.021484,0.009766,0.0,0.005859,0.015625,0.013672,0.009766,0.035156,0.005859,0.0,0.0,0.013672,0.011719,0.005859,0.03125,0.046875,0.007812,0.005859,0.001953,0.007812,0.0,0.009766,0.005859,0.025391,0.060547,0.007812,0.0,0.007812,0.037109,0.003906,0.003906,0.042969,0.001953,0.046875,0.009766,0.007812,0.015625,0.03125,0.0,0.001953,0.003906,0.0,0.005859,0.007812,0.037109,0.056641,0.027344,0.001953,0.007812,0.041016,0.009766,79
0.017578,0.041016,0.080078,0.007812,0.001953,0.017578,0.033203,0.0,0.0,0.023438,0.03125,0.007812,0.064453,0.0,0.009766,0.0,0.015625,0.033203,0.0,0.017578,0.023438,0.0,0.0,0.0,0.0,0.003906,0.0,0.005859,0.029297,0.017578,0.001953,0.0,0.007812,0.001953,0.025391,0.009766,0.021484,0.068359,0.015625,0.0,0.0,0.007812,0.041016,0.003906,0.009766,0.007812,0.058594,0.070312,0.0,0.007812,0.017578,0.0,0.011719,0.003906,0.025391,0.0,0.007812,0.005859,0.019531,0.009766,0.007812,0.001953,0.046875,0.0,39
0.023438,0.021484,0.035156,0.009766,0.011719,0.025391,0.039062,0.0,0.005859,0.039062,0.029297,0.005859,0.03125,0.003906,0.009766,0.0,0.035156,0.011719,0.007812,0.021484,0.021484,0.0,0.0,0.0,0.0,0.035156,0.0,0.011719,0.03125,0.029297,0.0,0.0,0.033203,0.0,0.052734,0.019531,0.021484,0.03125,0.019531,0.001953,0.001953,0.005859,0.001953,0.013672,0.013672,0.001953,0.03125,0.025391,0.0,0.015625,0.029297,0.0,0.027344,0.0,0.066406,0.0,0.025391,0.001953,0.035156,0.0,0.0,0.0,0.027344,0.0,61
0.068359,0.18359,0.007812,0.0,0.0,0.14844,0.0,0.0,0.005859,0.003906,0.072266,0.001953,0.09375,0.0,0.001953,0.0,0.003906,0.019531,0.0,0.003906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.003906,0.0,0.0,0.03125,0.0,0.033203,0.039062,0.003906,0.011719,0.001953,0.0,0.001953,0.013672,0.011719,0.001953,0.009766,0.0,0.007812,0.003906,0.0,0.0,0.078125,0.0,0.0,0.0,0.0,0.0,0.013672,0.029297,0.015625,0.005859,0.0,0.0,0.048828,0.001953,28
