WSR0,WSR1,WSR2,WSR3,WSR4,WSR5,WSR6,WSR7,WSR8,WSR9,WSR10,WSR11,WSR12,WSR13,WSR14,WSR15,WSR16,WSR17,WSR18,WSR19,WSR20,WSR21,WSR22,WSR23,WSR_PK,WSR_AV,T85,RH85,T70,RH70,T50,RH50,HT50,SLP,SLP_,Precp,label
0.4,0.3,0.1,0.2,0.1,0.2,0.1,0.3,0.1,0.8,0.9,1.8,2.1,1.9,2.1,1.8,1.7,1,0.2,0.2,0.5,1.1,1.2,1.1,2.1,0.8,13.5,0.18,7.1,0.05,-11.5,0.05,5855,10230,-5,0,0
1.1,0.3,0.1,0.4,0.5,0.7,0.2,1.3,1.3,2.1,3.2,3.2,3.4,3.5,3.8,3.8,3.5,3.6,1.6,0.1,0.1,0,0.3,0.2,3.8,1.6,3.2,0.2,-4.7,0.31,-16.6,0.39,5660,10210,45,0,0
2.2,2.2,2.4,2.1,1.8,1.5,1.8,2.6,3.2,3.9,3.6,3.7,3.6,3,2.5,3,5.1,4.5,4.2,3.7,3.5,3.1,2.5,2,5.1,3,?,?,?,?,?,?,?,?,?,0,0
0.4,0.3,0.3,0.4,0.4,0.4,0.7,1.2,1.7,2.6,2.3,3.1,3.3,3,3.4,3.4,2.5,1.7,1,0.5,0.7,0.2,0.2,0.1,3.4,1.4,3.1,0.07,-4.5,0.03,-11.9,?,5680,10245,110,0,0
1.2,1.1,1,1.3,1.8,0.8,1.1,2,3.1,3,4.4,4.8,4.6,5,5.1,4.4,4.2,3.6,3.1,2.8,3,2.3,2.3,1.5,5.1,2.8,16.7,0.62,7.3,0.57,-7.4,0.59,5875,10155,0,0.38,0
0.3,0.4,0.4,0.3,0.6,0.6,0.6,0.4,1.2,1.7,1.9,1.5,1.7,2,3,3.3,3.3,2.1,1.6,1.3,0.4,0.2,0.8,0.4,3.3,1.2,3,0.1,0.85,0.08,-16.5,0.03,5785,10325,?,0,0
0.3,0.2,0.1,0,0.4,0.3,0.6,0.5,1.3,0.9,1.5,2.3,1.7,3,3.2,3.3,2.6,2.2,2.4,0.9,0.6,0.7,0.5,0.1,3.3,1.2,17.9,0.37,10.6,0.08,-7.5,0.12,5895,10155,-15,0,0
0.1,0.3,0.1,0.2,0.3,0.8,1.7,1.9,2.9,4.1,4.9,4.9,4.6,5.1,5.1,5.2,5.3,4.5,4.3,4.2,3.4,3,3.4,3,5.3,3,14.1,0.02,6,0.03,-10.2,0.28,5835,10185,-10,0,0
3.5,3.7,4.1,3.1,2.4,3,2.4,2.5,2.5,4,3.9,4.1,3.7,3.8,3,3.3,3.2,3.2,2.9,2.8,3.4,3.6,3.2,2.2,4.1,3.2,?,?,?,?,?,?,?,?,?,0.48,0
1.3,0.4,0.2,0.1,0.3,0.8,1.3,1.9,2.8,2.5,3,3.3,4.3,4.3,4.7,4.4,3.9,3.5,3.2,2.7,2.8,2,1.7,1.3,4.7,2.4,16.2,0.19,6.5,0.1,-12.1,0.41,5860,10205,10,0,0
