N1,N2,N3,N4,N5,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,label
125.0,121.5,12.4,0.5,1.79,1.0,1.0,1.0,9238.0,1.0,1.0,1.0,19.0,19.0,9.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,19.0,0.0,0.0,6.0,9.0,6.0,0.0,0.0,6.0,7.0,6.0,0.0,2
163.3,163.3,12.4,0.5,1.79,1.0,10.0,2.0,9085.0,1.0,1.0,22.0,19.0,1.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,1.0,0.0,6.0,10.0,6.0,0.0,0.0,6.0,12.0,6.0,0.0,2
145.0,114.5,9.4,-0.8,-3.12,1.0,39.0,1.0,171.0,1.0,1.0,1.0,3.0,1.0,2.0,10.0,1.0,0.0,0.0,1.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
118.0,115.2,7.6,2.6,0.32,1.0,17.0,1.0,9670.0,1.0,1.0,1.0,37.0,38.0,8.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,21.0,0.0,0.0,5.0,7.0,3.0,0.0,0.0,5.0,5.0,2.0,0.0,0
153.0,139.7,11.1,0.6,2.02,1.0,1.0,1.0,9853.0,1.0,1.0,1.0,1.0,19.0,9.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,19.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,0.0,2
133.1,108.0,15.5,2.8,-4.06,1.0,17.0,2.0,9556.0,1.0,1.0,1.0,37.0,37.0,3.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,7.0,8.0,7.0,0.0,0.0,8.0,8.0,8.0,0.0,2
142.0,127.3,10.8,1.4,1.74,1.0,1.0,4.0,9500.0,1.0,1.0,1.0,38.0,37.0,9.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,8.0,8.0,7.0,0.0,0.0,8.0,8.0,7.0,0.0,2
135.0,123.0,12.7,3.7,-1.7,1.0,1.0,2.0,9500.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0
130.0,117.8,10.8,1.4,1.74,1.0,1.0,1.0,9500.0,1.0,1.0,1.0,38.0,37.0,5.0,10.0,1.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,0.0,8.0,8.0,7.0,0.0,0.0,8.0,8.0,7.0,0.0,2
140.0,140.0,12.4,0.5,1.79,1.0,44.0,1.0,9085.0,1.0,39.0,1.0,1.0,3.0,9.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,2.0,6.0,11.0,4.0,0.0,1.0,6.0,18.0,2.0,0.0,1
133.1,97.4,12.7,3.7,-1.7,1.0,39.0,1.0,9670.0,1.0,1.0,1.0,37.0,37.0,90.0,90.0,0.0,0.0,1.0,0.0,1.0,0.0,44.0,0.0,0.0,6.0,9.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0
